local,ensino_secundario_completo,Edificios Concluidos,Vendas,Taxa_Criminalidade,retencao_desistencia_ensino_basico,Total_Pedidos_Residencia,empregada_por_conta_outrem_com_ensino_superior,taxa_bruta_escolarizacao_ensino_secundario,Densidade_alojamentos,ganho_mensal,Taxa de crescimento efetivo,Valor_Medio_Pensoes,Estabelecimentos,Saldo migratório,votos_por_partido_ou_coligacao_x,populacao_ativa,votos_por_partido_ou_coligacao_y,residente_empregada_estudante,valor_processado_IRS,num_estabelecimentos_ensino_nao_superior,Total_Crimes,Desemprego,Idade da população residente,taxa_de_abstenção,Volume de negócios,Duracao_Sub_desemprego,poder_de_compra,Sessões de espetáculos ao vivo,Pessoal ao serviço dos estabelecimentos ,Beneficiários_Abono_Familia,pop_empregada_outrem_escalão,Rendas,Bens imóveis,Valor médio dos bilhetes vendidos,Alojamentos,taxa_emprego,credito_habitacao_permanente,votos_nulos_assembleias_municipais,pop_inscrita_eleicoes_assembleias_municipais,Beneficiários_RSI_1000_habitantes,Despesas em bibliotecas e arquivos,Indice Renovacao,Densidade populacional,rendimento_bruto,matriculados_ensino_nao_superior
Nelas,1.0,0.0,0.0,25.0,0.0,220.0,1.0,1.0,0.0,1.0,1.27,5215.0,0.0,274.0,1.0,0.0,1.0,0.0,335.0,0.0,333.0,418.0,29.2,1.0,0.0,156.0,0.0,0.0,0.0,921.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,20.74,0.0,70.7,104.6,1.0,0.0
Nisa,0.0,0.0,,29.0,0.0,36.0,0.0,1.0,0.0,0.0,-0.68,5516.0,0.0,67.0,1.0,0.0,1.0,0.0,192.0,0.0,165.0,141.0,37.7,0.0,0.0,168.0,0.0,0.0,0.0,351.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.56,0.0,51.9,9.9,1.0,0.0
Nordeste,0.0,0.0,,27.1,0.0,32.0,0.0,1.0,0.0,0.0,-0.05,4455.0,0.0,14.0,2.0,0.0,2.0,0.0,334.0,0.0,120.0,380.0,25.5,1.0,0.0,223.0,0.0,0.0,0.0,444.0,0.0,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,92.54,0.0,75.3,43.7,0.0,0.0
Odemira,1.0,0.0,1.0,25.7,1.0,3197.0,0.0,1.0,0.0,0.0,3.66,4997.0,0.0,1279.0,1.0,0.0,1.0,0.0,443.0,0.0,850.0,2961.0,29.2,1.0,0.0,133.0,0.0,0.0,0.0,2314.0,0.0,1.0,0.0,1.0,0.0,2.0,1.0,1.0,0.0,15.43,0.0,95.1,18.6,1.0,0.0
Odivelas,2.0,1.0,2.0,18.2,1.0,10709.0,0.0,1.0,2.0,0.0,1.68,7569.0,1.0,2102.0,0.0,1.0,0.0,1.0,3670.0,1.0,2803.0,4622.0,24.3,2.0,0.0,181.0,1.0,0.0,1.0,12681.0,1.0,2.0,0.0,0.0,1.0,2.0,2.0,1.0,1.0,25.79,1.0,90.6,5694.9,2.0,1.0
Oeiras,2.0,1.0,2.0,26.9,0.0,5371.0,2.0,1.0,1.0,2.0,1.05,10323.0,1.0,2140.0,1.0,2.0,1.0,1.0,2345.0,1.0,4729.0,4520.0,25.4,2.0,1.0,193.0,2.0,1.0,1.0,9212.0,1.0,2.0,0.0,1.0,1.0,2.0,1.0,0.0,1.0,13.45,0.0,82.2,3789.2,2.0,0.0
Oleiros,0.0,0.0,,29.5,1.0,67.0,0.0,1.0,0.0,0.0,0.18,4629.0,0.0,105.0,1.0,0.0,1.0,0.0,60.0,0.0,144.0,41.0,41.6,0.0,0.0,184.0,0.0,0.0,0.0,189.0,0.0,,0.0,0.0,0.0,0.0,2.0,1.0,0.0,11.94,0.0,47.4,10.4,0.0,0.0
Olhão,1.0,1.0,1.0,46.2,0.0,1074.0,0.0,1.0,0.0,0.0,0.5,5663.0,0.0,382.0,1.0,0.0,1.0,0.0,1136.0,0.0,2082.0,1513.0,25.0,2.0,0.0,156.0,1.0,0.0,0.0,4475.0,0.0,1.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,29.54,1.0,75.0,342.5,1.0,0.0
Oliveira de Azeméis,1.0,0.0,0.0,18.3,0.0,823.0,0.0,1.0,0.0,1.0,0.61,6262.0,0.0,629.0,1.0,1.0,1.0,0.0,789.0,1.0,1234.0,2411.0,28.4,2.0,0.0,170.0,1.0,0.0,0.0,4680.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,9.99,0.0,67.8,415.1,1.0,0.0
Oliveira de Frades,1.0,0.0,0.0,27.3,0.0,299.0,1.0,1.0,0.0,1.0,1.44,5140.0,0.0,189.0,0.0,0.0,0.0,0.0,81.0,0.0,267.0,305.0,27.3,0.0,0.0,166.0,0.0,0.0,0.0,771.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,6.4,0.0,75.1,66.2,0.0,0.0
Oliveira do Bairro,1.0,0.0,0.0,35.5,0.0,738.0,1.0,1.0,0.0,1.0,3.27,5174.0,0.0,864.0,0.0,0.0,0.0,0.0,578.0,0.0,889.0,614.0,25.7,2.0,0.0,151.0,1.0,0.0,0.0,2005.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,20.83,0.0,90.2,277.7,1.0,0.0
Oliveira do Hospital,0.0,0.0,0.0,19.5,0.0,283.0,1.0,2.0,0.0,0.0,0.78,5233.0,0.0,267.0,1.0,0.0,1.0,0.0,368.0,0.0,379.0,521.0,29.4,0.0,0.0,177.0,0.0,0.0,0.0,1528.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,17.39,0.0,66.4,82.3,0.0,0.0
Ourique,0.0,0.0,,30.6,1.0,75.0,0.0,1.0,0.0,0.0,0.21,4779.0,0.0,79.0,1.0,0.0,1.0,0.0,81.0,0.0,148.0,156.0,32.1,0.0,0.0,196.0,0.0,0.0,0.0,323.0,0.0,,0.0,0.0,0.0,1.0,0.0,1.0,0.0,16.4,0.0,61.1,7.3,1.0,0.0
Ourém,1.0,0.0,1.0,26.9,0.0,1033.0,1.0,2.0,0.0,1.0,1.77,5237.0,0.0,1106.0,2.0,0.0,2.0,0.0,602.0,0.0,1252.0,925.0,27.3,2.0,0.0,147.0,1.0,0.0,0.0,3650.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,12.16,0.0,77.2,109.7,1.0,0.0
Ovar,1.0,0.0,1.0,27.5,0.0,692.0,1.0,1.0,0.0,1.0,1.51,6507.0,0.0,934.0,2.0,1.0,2.0,0.0,1458.0,0.0,1561.0,1998.0,27.0,2.0,0.0,177.0,1.0,0.0,0.0,4076.0,0.0,1.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,25.41,0.0,75.5,378.4,1.0,0.0
Palmela,2.0,1.0,1.0,34.2,0.0,1471.0,1.0,1.0,0.0,1.0,1.78,7131.0,0.0,1503.0,0.0,1.0,0.0,0.0,990.0,0.0,2493.0,2535.0,24.4,2.0,1.0,175.0,1.0,0.0,0.0,5476.0,0.0,1.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,15.15,1.0,84.2,154.1,2.0,0.0
Pampilhosa da Serra,0.0,0.0,,18.1,0.0,13.0,0.0,0.0,0.0,0.0,1.56,5420.0,0.0,129.0,2.0,0.0,2.0,0.0,96.0,0.0,75.0,43.0,40.3,0.0,0.0,182.0,0.0,0.0,0.0,178.0,0.0,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,24.25,0.0,41.6,10.3,0.0,0.0
Paredes,1.0,1.0,0.0,22.7,0.0,740.0,0.0,1.0,0.0,0.0,0.74,5271.0,0.0,586.0,2.0,1.0,2.0,1.0,2863.0,0.0,1956.0,2852.0,24.7,0.0,0.0,182.0,0.0,0.0,0.0,8660.0,1.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,1.0,31.61,0.0,82.9,544.7,0.0,1.0
Paredes de Coura,0.0,0.0,0.0,27.7,0.0,101.0,0.0,1.0,0.0,0.0,0.38,4452.0,0.0,115.0,2.0,0.0,2.0,0.0,113.0,0.0,241.0,296.0,31.5,1.0,0.0,159.0,0.0,0.0,0.0,691.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,9.56,0.0,60.6,62.8,0.0,0.0
Paços de Ferreira,0.0,1.0,0.0,22.4,0.0,433.0,0.0,1.0,0.0,0.0,0.18,5051.0,0.0,106.0,1.0,1.0,1.0,0.0,1599.0,0.0,1255.0,1739.0,25.1,0.0,0.0,181.0,1.0,0.0,0.0,5778.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,27.09,0.0,83.4,787.2,0.0,0.0
Pedrógão Grande,0.0,0.0,,21.5,0.0,153.0,1.0,2.0,0.0,0.0,2.85,4919.0,0.0,143.0,1.0,0.0,1.0,0.0,168.0,0.0,78.0,49.0,33.1,0.0,0.0,190.0,0.0,0.0,0.0,245.0,0.0,,0.0,0.0,0.0,0.0,1.0,1.0,0.0,37.5,0.0,58.6,27.4,0.0,0.0
Penacova,0.0,0.0,0.0,18.7,0.0,94.0,0.0,2.0,0.0,0.0,0.24,4838.0,0.0,139.0,1.0,0.0,1.0,0.0,192.0,0.0,241.0,229.0,33.4,1.0,0.0,171.0,0.0,0.0,0.0,793.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,13.69,0.0,58.0,59.5,0.0,0.0
Penafiel,1.0,1.0,0.0,22.8,0.0,388.0,0.0,2.0,0.0,0.0,0.46,5588.0,0.0,467.0,2.0,1.0,2.0,0.0,2062.0,1.0,1606.0,2101.0,25.3,0.0,0.0,181.0,0.0,0.0,0.0,6787.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,28.82,1.0,79.7,329.8,0.0,1.0
Penalva do Castelo,0.0,0.0,,18.0,0.0,31.0,0.0,1.0,0.0,0.0,0.85,4341.0,0.0,150.0,2.0,0.0,2.0,0.0,152.0,0.0,132.0,204.0,32.1,0.0,0.0,185.0,0.0,0.0,0.0,495.0,0.0,,0.0,0.0,0.0,0.0,1.0,1.0,0.0,21.89,0.0,67.3,54.2,0.0,0.0
Penamacor,0.0,0.0,,42.1,0.0,88.0,0.0,1.0,0.0,0.0,1.03,4429.0,0.0,130.0,2.0,0.0,2.0,0.0,173.0,0.0,202.0,74.0,39.5,0.0,0.0,206.0,0.0,0.0,0.0,242.0,0.0,,0.0,0.0,0.0,0.0,0.0,1.0,0.0,30.92,0.0,46.8,8.4,0.0,0.0
Penedono,0.0,0.0,,16.0,0.0,19.0,0.0,0.0,0.0,0.0,0.46,4119.0,0.0,37.0,1.0,0.0,1.0,0.0,127.0,0.0,45.0,37.0,32.0,0.0,0.0,176.0,0.0,0.0,0.0,176.0,0.0,,0.0,0.0,0.0,0.0,1.0,2.0,0.0,37.07,0.0,67.0,20.9,0.0,0.0
Penela,0.0,0.0,,22.3,0.0,144.0,1.0,0.0,0.0,1.0,1.36,4895.0,0.0,140.0,2.0,0.0,2.0,0.0,77.0,0.0,125.0,79.0,30.6,0.0,0.0,174.0,0.0,0.0,0.0,332.0,0.0,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,11.78,0.0,63.0,41.1,0.0,0.0
Peniche,1.0,0.0,1.0,37.9,1.0,766.0,0.0,1.0,0.0,0.0,1.5,5763.0,0.0,557.0,0.0,0.0,0.0,0.0,464.0,0.0,1045.0,1330.0,26.5,2.0,0.0,150.0,1.0,0.0,0.0,2360.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,19.89,0.0,72.9,350.0,1.0,0.0
Peso da Régua,1.0,0.0,0.0,21.4,1.0,57.0,1.0,2.0,0.0,0.0,-0.17,5176.0,0.0,62.0,1.0,0.0,1.0,0.0,1122.0,0.0,308.0,378.0,30.0,1.0,0.0,192.0,1.0,0.0,0.0,1148.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,70.81,0.0,60.8,152.1,0.0,0.0
Pinhel,0.0,0.0,,25.4,0.0,40.0,0.0,1.0,0.0,0.0,-0.61,4335.0,0.0,70.0,2.0,0.0,2.0,0.0,140.0,0.0,199.0,125.0,37.1,1.0,0.0,149.0,0.0,0.0,0.0,501.0,0.0,,0.0,0.0,0.0,0.0,1.0,2.0,0.0,20.12,0.0,50.8,16.3,0.0,0.0
Pombal,1.0,1.0,0.0,22.4,0.0,1314.0,0.0,2.0,0.0,1.0,1.3,4988.0,0.0,970.0,2.0,0.0,2.0,0.0,1110.0,1.0,1164.0,914.0,28.6,2.0,0.0,164.0,1.0,0.0,0.0,3579.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,0.0,18.64,0.0,70.0,82.0,1.0,0.0
Ponta Delgada,1.0,1.0,1.0,48.5,1.0,568.0,1.0,1.0,0.0,1.0,0.55,6967.0,0.0,386.0,1.0,1.0,1.0,0.0,4900.0,1.0,3335.0,1921.0,24.4,2.0,0.0,175.0,1.0,0.0,0.0,6014.0,0.0,1.0,1.0,0.0,0.0,2.0,1.0,0.0,0.0,85.0,0.0,90.0,293.5,2.0,0.0
Ponta do Sol,0.0,0.0,,13.1,0.0,122.0,0.0,1.0,0.0,0.0,1.98,4476.0,0.0,213.0,1.0,0.0,1.0,0.0,234.0,0.0,114.0,201.0,25.9,1.0,0.0,178.0,0.0,0.0,0.0,730.0,0.0,,0.0,0.0,0.0,1.0,1.0,1.0,0.0,26.97,0.0,75.7,184.6,0.0,0.0
Ponte da Barca,0.0,0.0,0.0,29.1,0.0,66.0,0.0,2.0,0.0,0.0,0.66,4352.0,0.0,161.0,1.0,0.0,1.0,0.0,151.0,0.0,325.0,209.0,30.0,1.0,0.0,138.0,0.0,0.0,0.0,845.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,11.5,0.0,68.5,61.0,0.0,0.0
Ponte de Lima,1.0,1.0,0.0,22.4,0.0,450.0,0.0,1.0,0.0,0.0,0.16,4773.0,0.0,276.0,0.0,0.0,0.0,0.0,379.0,0.0,921.0,917.0,27.6,0.0,0.0,169.0,0.0,0.0,0.0,3419.0,0.0,0.0,1.0,0.0,0.0,1.0,2.0,0.0,0.0,8.19,0.0,75.5,128.2,0.0,0.0
Ponte de Sor,0.0,0.0,0.0,39.7,1.0,145.0,0.0,1.0,0.0,0.0,-0.06,5593.0,0.0,137.0,2.0,0.0,2.0,0.0,407.0,0.0,604.0,654.0,29.8,2.0,0.0,150.0,1.0,0.0,0.0,1356.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,25.02,0.0,59.7,18.1,1.0,0.0
Portalegre,2.0,0.0,0.0,30.3,0.0,350.0,1.0,2.0,0.0,1.0,-0.63,5395.0,0.0,47.0,0.0,0.0,0.0,0.0,518.0,0.0,663.0,688.0,28.3,1.0,0.0,172.0,1.0,0.0,0.0,1927.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,20.98,0.0,64.7,49.3,2.0,0.0
Portel,0.0,0.0,,31.2,0.0,52.0,0.0,0.0,0.0,0.0,0.02,4831.0,0.0,60.0,2.0,0.0,2.0,0.0,189.0,0.0,179.0,224.0,28.4,0.0,0.0,167.0,0.0,0.0,0.0,476.0,0.0,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,28.41,0.0,71.7,9.5,0.0,0.0
Portimão,2.0,0.0,2.0,49.1,1.0,3802.0,0.0,2.0,0.0,1.0,1.44,6272.0,0.0,999.0,0.0,1.0,0.0,0.0,3012.0,0.0,3099.0,4021.0,24.8,2.0,0.0,130.0,1.0,0.0,0.0,6468.0,0.0,2.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,45.42,1.0,81.6,341.5,1.0,0.0
Porto,2.0,2.0,2.0,61.5,0.0,14163.0,2.0,2.0,2.0,2.0,2.34,8059.0,1.0,6748.0,0.0,2.0,0.0,1.0,19931.0,2.0,15310.0,8439.0,28.0,2.0,1.0,176.0,2.0,2.0,1.0,13622.0,1.0,2.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,70.26,2.0,87.2,5867.1,2.0,1.0
Porto Moniz,0.0,0.0,,28.5,0.0,30.0,0.0,1.0,0.0,0.0,1.11,4097.0,0.0,71.0,1.0,0.0,1.0,0.0,54.0,0.0,72.0,69.0,31.1,0.0,0.0,212.0,0.0,0.0,0.0,167.0,0.0,,0.0,0.0,0.0,0.0,1.0,1.0,0.0,19.82,0.0,64.9,30.1,0.0,0.0
Porto Santo,1.0,0.0,,43.0,1.0,132.0,0.0,1.0,0.0,1.0,3.7,7019.0,0.0,221.0,1.0,0.0,1.0,0.0,69.0,0.0,239.0,304.0,27.5,0.0,0.0,158.0,1.0,0.0,0.0,361.0,0.0,,0.0,0.0,0.0,1.0,1.0,1.0,0.0,11.37,0.0,61.0,125.6,2.0,0.0
Porto de Mós,1.0,0.0,0.0,28.8,0.0,541.0,0.0,1.0,0.0,1.0,1.39,5616.0,0.0,429.0,1.0,0.0,1.0,0.0,386.0,0.0,690.0,547.0,27.0,1.0,0.0,168.0,1.0,0.0,0.0,1765.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,14.66,0.0,78.1,90.4,1.0,0.0
Povoação,0.0,0.0,,28.1,2.0,19.0,0.0,1.0,0.0,0.0,-0.26,4680.0,0.0,4.0,2.0,0.0,2.0,0.0,381.0,0.0,165.0,508.0,24.8,1.0,0.0,217.0,0.0,0.0,0.0,569.0,0.0,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,84.44,0.0,80.6,55.3,0.0,0.0
Proença-a-Nova,0.0,0.0,0.0,30.5,0.0,108.0,1.0,1.0,0.0,0.0,-0.17,4868.0,0.0,89.0,2.0,0.0,2.0,0.0,111.0,0.0,216.0,119.0,35.9,1.0,0.0,159.0,0.0,0.0,0.0,389.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,16.89,0.0,53.9,18.0,0.0,0.0
Póvoa de Lanhoso,0.0,0.0,0.0,25.6,0.0,275.0,0.0,1.0,0.0,0.0,1.32,4621.0,0.0,418.0,1.0,0.0,1.0,0.0,304.0,0.0,578.0,573.0,27.0,0.0,0.0,182.0,0.0,0.0,0.0,1740.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,10.41,0.0,74.8,165.7,0.0,0.0
Póvoa de Varzim,1.0,0.0,1.0,22.3,0.0,1664.0,1.0,2.0,0.0,0.0,1.89,5726.0,0.0,1439.0,1.0,1.0,1.0,0.0,1876.0,1.0,1504.0,2356.0,25.8,2.0,0.0,170.0,1.0,0.0,0.0,5577.0,0.0,1.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,23.27,1.0,83.4,806.0,1.0,0.0
Redondo,0.0,0.0,0.0,27.6,0.0,29.0,0.0,1.0,0.0,0.0,0.41,5338.0,0.0,73.0,0.0,0.0,0.0,0.0,204.0,0.0,174.0,242.0,28.8,1.0,0.0,170.0,0.0,0.0,0.0,572.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,32.09,0.0,71.3,17.0,1.0,0.0
Reguengos de Monsaraz,1.0,0.0,0.0,38.3,1.0,53.0,0.0,2.0,0.0,0.0,0.41,5543.0,0.0,99.0,1.0,0.0,1.0,0.0,618.0,0.0,378.0,325.0,27.4,1.0,0.0,168.0,1.0,0.0,0.0,874.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,53.9,0.0,67.2,21.2,1.0,0.0
Resende,0.0,0.0,,21.8,0.0,18.0,0.0,1.0,0.0,0.0,-1.0,4406.0,0.0,-17.0,1.0,0.0,1.0,0.0,523.0,0.0,213.0,219.0,29.1,0.0,0.0,216.0,0.0,0.0,0.0,904.0,0.0,,0.0,0.0,0.0,0.0,2.0,0.0,0.0,60.75,0.0,62.4,79.9,0.0,0.0
Ribeira Brava,0.0,0.0,,19.9,1.0,78.0,0.0,1.0,0.0,0.0,1.67,4815.0,0.0,292.0,2.0,0.0,2.0,0.0,230.0,0.0,260.0,335.0,25.5,2.0,0.0,164.0,0.0,0.0,0.0,1134.0,0.0,,0.0,0.0,0.0,0.0,2.0,2.0,0.0,23.84,0.0,79.5,196.5,0.0,0.0
Ribeira Grande,0.0,1.0,0.0,57.9,2.0,106.0,0.0,1.0,0.0,0.0,0.74,5268.0,0.0,125.0,2.0,0.0,2.0,0.0,3192.0,0.0,1868.0,1303.0,20.0,1.0,0.0,178.0,0.0,0.0,0.0,4099.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,157.1,0.0,115.7,177.9,0.0,0.0
Ribeira de Pena,0.0,0.0,,25.8,0.0,55.0,0.0,1.0,0.0,0.0,0.43,4033.0,0.0,81.0,1.0,0.0,1.0,0.0,268.0,0.0,151.0,156.0,32.1,1.0,0.0,178.0,0.0,0.0,0.0,431.0,0.0,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,41.37,0.0,57.1,26.8,0.0,0.0
Rio Maior,1.0,1.0,0.0,38.6,1.0,824.0,0.0,2.0,0.0,1.0,1.64,5984.0,0.0,400.0,2.0,0.0,2.0,0.0,361.0,0.0,861.0,597.0,26.0,1.0,0.0,165.0,1.0,0.0,0.0,2063.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,18.26,0.0,82.4,80.5,1.0,0.0
Sabrosa,0.0,0.0,,18.1,0.0,9.0,1.0,1.0,0.0,0.0,0.64,4376.0,0.0,80.0,0.0,0.0,0.0,0.0,200.0,0.0,102.0,128.0,32.2,0.0,0.0,176.0,0.0,0.0,0.0,408.0,0.0,,0.0,0.0,0.0,0.0,1.0,1.0,0.0,37.33,0.0,63.8,35.7,0.0,0.0
Sabugal,0.0,0.0,0.0,26.7,1.0,47.0,0.0,1.0,0.0,0.0,0.54,4100.0,0.0,314.0,1.0,0.0,1.0,0.0,340.0,0.0,301.0,146.0,38.7,1.0,0.0,176.0,0.0,0.0,0.0,569.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,25.65,0.0,51.1,13.6,0.0,0.0
Salvaterra de Magos,1.0,1.0,1.0,33.8,1.0,201.0,0.0,2.0,0.0,0.0,2.05,6118.0,0.0,593.0,1.0,0.0,1.0,0.0,457.0,0.0,788.0,930.0,26.9,2.0,0.0,161.0,0.0,0.0,0.0,1917.0,0.0,1.0,0.0,0.0,0.0,1.0,2.0,1.0,0.0,19.41,0.0,77.7,93.7,1.0,0.0
Santa Comba Dão,0.0,0.0,0.0,28.1,0.0,132.0,1.0,1.0,0.0,0.0,1.11,5286.0,0.0,220.0,1.0,0.0,1.0,0.0,303.0,0.0,307.0,294.0,30.4,1.0,0.0,169.0,0.0,0.0,0.0,760.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,21.0,0.0,70.0,96.5,0.0,0.0
Santa Cruz,2.0,0.0,2.0,17.5,0.0,400.0,0.0,0.0,0.0,1.0,1.47,5638.0,0.0,685.0,1.0,0.0,1.0,0.0,550.0,0.0,774.0,1260.0,24.2,1.0,0.0,180.0,0.0,0.0,0.0,3609.0,0.0,2.0,0.0,0.0,0.0,2.0,2.0,1.0,0.0,20.58,0.0,74.8,535.4,1.0,0.0
Santa Cruz da Graciosa,0.0,0.0,,31.2,0.0,22.0,0.0,1.0,0.0,0.0,-0.29,4490.0,0.0,1.0,2.0,0.0,2.0,0.0,229.0,0.0,128.0,176.0,25.0,0.0,0.0,199.0,0.0,0.0,0.0,336.0,0.0,,0.0,0.0,0.0,2.0,0.0,1.0,0.0,58.71,0.0,76.1,67.8,1.0,0.0
Santa Cruz das Flores,0.0,0.0,,36.7,0.0,11.0,0.0,1.0,0.0,1.0,1.39,5539.0,0.0,46.0,2.0,0.0,2.0,0.0,42.0,0.0,77.0,97.0,26.8,0.0,0.0,184.0,1.0,0.0,0.0,140.0,0.0,,0.0,0.0,0.0,2.0,0.0,0.0,0.0,17.77,0.0,75.4,29.2,1.0,0.0
Santa Maria da Feira,1.0,1.0,1.0,21.2,0.0,922.0,1.0,1.0,0.0,1.0,0.92,5904.0,1.0,1498.0,1.0,1.0,1.0,1.0,3022.0,1.0,2970.0,4775.0,27.1,1.0,1.0,172.0,1.0,1.0,1.0,10804.0,1.0,1.0,0.0,0.0,1.0,2.0,2.0,1.0,1.0,18.86,1.0,70.4,641.8,1.0,1.0
Santa Marta de Penaguião,0.0,0.0,,15.9,0.0,12.0,0.0,0.0,0.0,0.0,-0.17,4587.0,0.0,59.0,2.0,0.0,2.0,0.0,518.0,0.0,95.0,165.0,32.9,1.0,0.0,183.0,0.0,0.0,0.0,412.0,0.0,,0.0,0.0,0.0,0.0,2.0,1.0,0.0,68.62,0.0,64.6,86.5,0.0,0.0
Santana,0.0,0.0,,16.5,1.0,71.0,0.0,1.0,0.0,0.0,0.48,4337.0,0.0,82.0,2.0,0.0,2.0,0.0,252.0,0.0,107.0,159.0,31.1,1.0,0.0,169.0,0.0,0.0,0.0,467.0,0.0,,0.0,0.0,0.0,0.0,1.0,1.0,0.0,41.08,0.0,58.1,67.6,0.0,0.0
Santarém,2.0,1.0,1.0,27.3,1.0,2109.0,1.0,2.0,0.0,1.0,1.11,6106.0,0.0,941.0,0.0,1.0,0.0,0.0,1598.0,1.0,1666.0,1542.0,26.8,2.0,0.0,161.0,1.0,0.0,0.0,4818.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,25.69,0.0,74.8,109.2,2.0,1.0
Santiago do Cacém,1.0,0.0,1.0,35.4,1.0,557.0,0.0,1.0,0.0,1.0,0.43,7577.0,0.0,332.0,0.0,0.0,0.0,0.0,291.0,0.0,1001.0,964.0,29.8,2.0,0.0,150.0,1.0,0.0,0.0,1849.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,11.61,1.0,61.7,26.5,2.0,0.0
Santo Tirso,1.0,1.0,0.0,21.3,0.0,435.0,0.0,2.0,0.0,0.0,0.18,5999.0,0.0,437.0,2.0,1.0,2.0,0.0,1794.0,1.0,1444.0,2590.0,29.4,1.0,0.0,190.0,1.0,0.0,0.0,4743.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,21.92,0.0,66.1,495.8,1.0,0.0
Sardoal,0.0,0.0,,29.5,1.0,54.0,0.0,1.0,0.0,0.0,1.5,5690.0,0.0,97.0,0.0,0.0,0.0,0.0,89.0,0.0,107.0,122.0,31.9,0.0,0.0,198.0,0.0,0.0,0.0,239.0,0.0,,0.0,0.0,0.0,0.0,1.0,1.0,0.0,29.05,1.0,65.8,38.8,1.0,0.0
Seia,0.0,0.0,0.0,36.1,0.0,221.0,0.0,2.0,0.0,0.0,0.0,5231.0,0.0,233.0,0.0,0.0,0.0,0.0,813.0,0.0,774.0,427.0,34.0,1.0,0.0,176.0,0.0,0.0,0.0,1438.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,31.29,0.0,54.6,49.2,1.0,0.0
Seixal,2.0,2.0,2.0,26.3,1.0,7770.0,0.0,1.0,1.0,1.0,1.72,7457.0,1.0,2760.0,0.0,2.0,0.0,1.0,5480.0,1.0,4548.0,5277.0,24.5,2.0,0.0,176.0,1.0,0.0,1.0,14624.0,1.0,2.0,0.0,0.0,1.0,2.0,2.0,0.0,1.0,30.36,1.0,87.7,1783.2,2.0,1.0
Sernancelhe,0.0,0.0,,14.0,0.0,81.0,0.0,1.0,0.0,0.0,0.95,4092.0,0.0,128.0,2.0,0.0,2.0,0.0,208.0,0.0,81.0,71.0,32.3,0.0,0.0,189.0,0.0,0.0,0.0,348.0,0.0,,0.0,0.0,0.0,0.0,2.0,1.0,0.0,27.83,0.0,60.4,25.1,0.0,0.0
