local,ensino_secundario_completo,Edificios Concluidos,Vendas,Taxa_Criminalidade,retencao_desistencia_ensino_basico,Total_Pedidos_Residencia,empregada_por_conta_outrem_com_ensino_superior,taxa_bruta_escolarizacao_ensino_secundario,Densidade_alojamentos,ganho_mensal,Taxa de crescimento efetivo,Valor_Medio_Pensoes,Estabelecimentos,Saldo migratório,votos_por_partido_ou_coligacao_x,populacao_ativa,votos_por_partido_ou_coligacao_y,residente_empregada_estudante,valor_processado_IRS,num_estabelecimentos_ensino_nao_superior,Total_Crimes,Desemprego,Idade da população residente,taxa_de_abstenção,Volume de negócios,Duracao_Sub_desemprego,poder_de_compra,Sessões de espetáculos ao vivo,Pessoal ao serviço dos estabelecimentos ,Beneficiários_Abono_Familia,pop_empregada_outrem_escalão,Rendas,Bens imóveis,Valor médio dos bilhetes vendidos,Alojamentos,taxa_emprego,credito_habitacao_permanente,votos_nulos_assembleias_municipais,pop_inscrita_eleicoes_assembleias_municipais,Beneficiários_RSI_1000_habitantes,Despesas em bibliotecas e arquivos,Indice Renovacao,Densidade populacional,rendimento_bruto,matriculados_ensino_nao_superior
Lousada,0.0,1.0,0.0,19.9,0.0,257.0,0.0,1.0,0.0,0.0,0.79,5292.0,0.0,396.0,2.0,1.0,2.0,0.0,834.0,0.0,962.0,1565.0,24.6,0.0,0.0,166.0,0.0,0.0,0.0,5065.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,17.99,0.0,86.2,498.9,0.0,0.0
Lousã,1.0,0.0,0.0,17.4,0.0,261.0,1.0,1.0,0.0,0.0,1.17,6008.0,0.0,260.0,1.0,0.0,1.0,0.0,477.0,0.0,303.0,404.0,26.8,1.0,0.0,162.0,1.0,0.0,0.0,1361.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,25.4,0.0,73.8,124.4,1.0,0.0
Macedo de Cavaleiros,0.0,0.0,0.0,25.6,1.0,104.0,1.0,2.0,0.0,0.0,0.54,4176.0,0.0,234.0,1.0,0.0,1.0,0.0,679.0,0.0,364.0,239.0,33.7,1.0,0.0,180.0,0.0,0.0,0.0,1019.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,36.6,0.0,57.0,20.3,0.0,0.0
Machico,0.0,0.0,1.0,24.2,0.0,173.0,0.0,1.0,0.0,1.0,0.23,5586.0,0.0,144.0,1.0,0.0,1.0,0.0,422.0,0.0,475.0,810.0,27.6,1.0,0.0,174.0,0.0,0.0,0.0,1514.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,27.39,0.0,66.6,286.4,0.0,0.0
Madalena,1.0,0.0,0.0,35.5,1.0,105.0,0.0,1.0,0.0,0.0,0.74,5289.0,0.0,57.0,2.0,0.0,2.0,0.0,120.0,0.0,232.0,203.0,25.7,0.0,0.0,172.0,1.0,0.0,0.0,538.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,17.12,0.0,80.5,44.1,1.0,0.0
Mafra,2.0,2.0,2.0,26.0,0.0,2983.0,0.0,1.0,0.0,1.0,0.87,7335.0,1.0,813.0,2.0,1.0,2.0,1.0,1050.0,1.0,2340.0,2030.0,22.8,2.0,0.0,186.0,1.0,0.0,0.0,6954.0,0.0,2.0,0.0,0.0,1.0,2.0,2.0,0.0,0.0,11.9,0.0,83.4,306.4,2.0,0.0
Maia,2.0,1.0,1.0,28.4,0.0,2151.0,2.0,1.0,1.0,1.0,1.6,7375.0,1.0,2463.0,0.0,1.0,0.0,1.0,4755.0,1.0,4048.0,4878.0,25.8,2.0,1.0,174.0,1.0,0.0,1.0,9430.0,1.0,1.0,0.0,0.0,1.0,2.0,1.0,1.0,1.0,29.6,0.0,77.1,1691.8,2.0,0.0
Mangualde,0.0,0.0,0.0,31.5,0.0,274.0,0.0,1.0,0.0,1.0,1.42,5402.0,0.0,360.0,1.0,0.0,1.0,0.0,595.0,0.0,586.0,601.0,29.1,1.0,0.0,186.0,1.0,0.0,0.0,1419.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,30.35,0.0,69.7,83.6,1.0,0.0
Manteigas,0.0,0.0,,28.6,0.0,31.0,1.0,1.0,0.0,0.0,0.2,4730.0,0.0,43.0,0.0,0.0,0.0,0.0,88.0,0.0,84.0,64.0,33.8,0.0,0.0,170.0,0.0,0.0,0.0,189.0,0.0,,0.0,0.0,0.0,0.0,0.0,1.0,0.0,24.88,0.0,63.0,24.0,0.0,0.0
Marco de Canaveses,0.0,0.0,0.0,23.7,0.0,410.0,0.0,1.0,0.0,0.0,0.23,5417.0,0.0,196.0,2.0,0.0,2.0,0.0,2369.0,1.0,1173.0,1609.0,25.6,0.0,0.0,191.0,0.0,0.0,0.0,4867.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,43.65,0.0,80.4,245.0,0.0,0.0
