local,codigo,Saldo migratório
Lagoa (R.A.A.),2004201,175.0
Lajes das Flores,2004801,23.0
Lajes do Pico,2004601,58.0
Madalena,2004602,57.0
Nordeste,2004202,14.0
Ponta Delgada,2004203,386.0
Povoação,2004204,4.0
Ribeira Grande,2004205,125.0
Santa Cruz da Graciosa,2004401,1.0
Santa Cruz das Flores,2004802,46.0
São Roque do Pico,2004603,66.0
Velas,2004502,31.0
Vila da Praia da Vitória,2004302,139.0
Vila do Porto,2004101,16.0
Vila Franca do Campo,2004206,-12.0
Calheta (R.A.M.),3003101,279.0
Câmara de Lobos,3003102,363.0
Funchal,3003103,1090.0
Machico,3003104,144.0
Ponta do Sol,3003105,213.0
Porto Moniz,3003106,71.0
Ribeira Brava,3003107,292.0
Santa Cruz,3003108,685.0
Santana,3003109,82.0
São Vicente,3003110,152.0
Porto Santo,3003201,221.0
