local,codigo,valor_processado_IRS
Monforte,1C31211,433.0
Nisa,1C31212,192.0
Ponte de Sor,1C31213,407.0
Portalegre,1C31214,518.0
Sousel,1C31215,194.0
Alandroal,1C40701,51.0
Arraiolos,1C40702,60.0
Borba,1C40703,374.0
Estremoz,1C40704,599.0
Évora,1C40705,1405.0
Montemor-o-Novo,1C40706,166.0
Mora,1C40707,61.0
Mourão,1C40708,418.0
Portel,1C40709,189.0
Redondo,1C40710,204.0
Reguengos de Monsaraz,1C40711,618.0
Vendas Novas,1C40712,225.0
Viana do Alentejo,1C40713,167.0
Vila Viçosa,1C40714,97.0
Albufeira,1500801,1567.0
Alcoutim,1500802,35.0
Aljezur,1500803,141.0
Castro Marim,1500804,251.0
Faro,1500805,2468.0
Lagoa,1500806,805.0
Lagos,1500807,780.0
Loulé,1500808,2130.0
Monchique,1500809,105.0
Olhão,1500810,1136.0
Portimão,1500811,3012.0
São Brás de Alportel,1500812,253.0
Silves,1500813,670.0
Tavira,1500814,466.0
Vila do Bispo,1500815,78.0
Vila Real de Santo António,1500816,443.0
Angra do Heroísmo,2004301,967.0
Calheta (R.A.A.),2004501,33.0
Corvo,2004901,9.0
Horta,2004701,244.0
Lagoa (R.A.A.),2004201,836.0
Lajes das Flores,2004801,23.0
Lajes do Pico,2004601,49.0
Madalena,2004602,120.0
Nordeste,2004202,334.0
Ponta Delgada,2004203,4900.0
Povoação,2004204,381.0
Ribeira Grande,2004205,3192.0
Santa Cruz da Graciosa,2004401,229.0
Santa Cruz das Flores,2004802,42.0
São Roque do Pico,2004603,51.0
Velas,2004502,77.0
Vila da Praia da Vitória,2004302,622.0
Vila do Porto,2004101,89.0
Vila Franca do Campo,2004206,424.0
Calheta (R.A.M.),3003101,343.0
Câmara de Lobos,3003102,692.0
Funchal,3003103,3646.0
Machico,3003104,422.0
Ponta do Sol,3003105,234.0
Porto Moniz,3003106,54.0
Ribeira Brava,3003107,230.0
Santa Cruz,3003108,550.0
Santana,3003109,252.0
São Vicente,3003110,148.0
Porto Santo,3003201,69.0
