local,codigo,Beneficiários_RSI_1000_habitantes
Tavira,1500814,16.56
Vila do Bispo,1500815,13.87
Vila Real de Santo António,1500816,33.35
Angra do Heroísmo,2004301,39.71
Calheta,2004501,12.98
Corvo,2004901,29.89
Horta,2004701,17.12
Lagoa,2004201,90.1
Lajes das Flores,2004801,12.62
Lajes do Pico,2004601,11.94
Madalena,2004602,17.12
Nordeste,2004202,92.54
Ponta Delgada,2004203,85.0
Povoação,2004204,84.44
Ribeira Grande,2004205,157.1
Santa Cruz da Graciosa,2004401,58.71
Santa Cruz das Flores,2004802,17.77
São Roque do Pico,2004603,13.1
Velas,2004502,10.64
Vila da Praia da Vitória,2004302,47.74
Vila do Porto,2004101,33.67
Vila Franca do Campo,2004206,63.05
Calheta,3003101,36.52
Câmara de Lobos,3003102,27.49
Funchal,3003103,34.95
Machico,3003104,27.39
Ponta do Sol,3003105,26.97
Porto Moniz,3003106,19.82
Porto Santo,3003201,11.37
Ribeira Brava,3003107,23.84
Santa Cruz,3003108,20.58
Santana,3003109,41.08
São Vicente,3003110,21.51
