local,codigo,Beneficiários_Abono_Familia
Palmela,1B01508,5476.0
Seixal,1B01510,14624.0
Sesimbra,1B01511,4699.0
Setúbal,1B01512,10481.0
Alcácer do Sal,1C11501,805.0
Grândola,1C11505,1136.0
Odemira,1C10211,2314.0
Santiago do Cacém,1C11509,1849.0
Sines,1C11513,1154.0
Aljustrel,1C20201,592.0
Almodôvar,1C20202,356.0
Alvito,1C20203,204.0
Barrancos,1C20204,127.0
Beja,1C20205,2821.0
Castro Verde,1C20206,375.0
Cuba,1C20207,353.0
Ferreira do Alentejo,1C20208,602.0
Mértola,1C20209,362.0
Moura,1C20210,1335.0
Ourique,1C20212,323.0
Serpa,1C20213,1151.0
Vidigueira,1C20214,482.0
Alter do Chão,1C31201,278.0
Arronches,1C31202,202.0
Avis,1C31203,309.0
Campo Maior,1C31204,840.0
Castelo de Vide,1C31205,202.0
Crato,1C31206,243.0
Elvas,1C31207,2110.0
Fronteira,1C31208,234.0
Gavião,1C31209,219.0
Marvão,1C31210,193.0
Monforte,1C31211,269.0
Nisa,1C31212,351.0
Ponte de Sor,1C31213,1356.0
Portalegre,1C31214,1927.0
Sousel,1C31215,347.0
Alandroal,1C40701,356.0
Arraiolos,1C40702,493.0
Borba,1C40703,527.0
Estremoz,1C40704,971.0
Évora,1C40705,4207.0
Montemor-o-Novo,1C40706,1164.0
Mora,1C40707,276.0
Mourão,1C40708,226.0
Portel,1C40709,476.0
Redondo,1C40710,572.0
Reguengos de Monsaraz,1C40711,874.0
Vendas Novas,1C40712,889.0
Viana do Alentejo,1C40713,471.0
Vila Viçosa,1C40714,566.0
Albufeira,1500801,5031.0
Alcoutim,1500802,128.0
Aljezur,1500803,539.0
Castro Marim,1500804,524.0
Faro,1500805,5768.0
Lagoa,1500806,2323.0
Lagos,1500807,3003.0
Loulé,1500808,7149.0
Monchique,1500809,384.0
Olhão,1500810,4475.0
Portimão,1500811,6468.0
São Brás de Alportel,1500812,955.0
Silves,1500813,3794.0
Tavira,1500814,2241.0
Vila do Bispo,1500815,474.0
Vila Real de Santo António,1500816,1935.0
Angra do Heroísmo,2004301,2700.0
Calheta (R.A.A.),2004501,265.0
Corvo,2004901,26.0
Horta,2004701,1062.0
Lagoa (R.A.A.),2004201,1621.0
Lajes das Flores,2004801,91.0
Lajes do Pico,2004601,340.0
Madalena,2004602,538.0
Nordeste,2004202,444.0
Ponta Delgada,2004203,6014.0
Povoação,2004204,569.0
Ribeira Grande,2004205,4099.0
Santa Cruz da Graciosa,2004401,336.0
Santa Cruz das Flores,2004802,140.0
São Roque do Pico,2004603,261.0
Velas,2004502,393.0
Vila da Praia da Vitória,2004302,1492.0
Vila do Porto,2004101,462.0
Vila Franca do Campo,2004206,1113.0
Calheta (R.A.M.),3003101,822.0
Câmara de Lobos,3003102,3344.0
Funchal,3003103,7079.0
Machico,3003104,1514.0
Ponta do Sol,3003105,730.0
Porto Moniz,3003106,167.0
Ribeira Brava,3003107,1134.0
Santa Cruz,3003108,3609.0
Santana,3003109,467.0
São Vicente,3003110,319.0
Porto Santo,3003201,361.0
