local,codigo,Valor mediano das vendas por m2
Póvoa de Lanhoso,1190309,997
Vieira do Minho,1190311,669
Vila Nova de Famalicão,1190312,1402
Bairro,119031204,989
Brufe,119031206,0
Castelões,119031210,0
Cruz,119031212,0
Delães,119031213,1339
Fradelos,119031215,1364
Gavião,119031216,1535
Joane,119031219,1249
Landim,119031221,0
Louro,119031223,0
Lousado,119031224,1479
Mogege,119031225,0
Nine,119031227,1467
Oliveira (Santa Maria),119031239,0
Oliveira (São Mateus),119031242,0
Pedome,119031230,0
Pousada de Saramagos,119031232,0
Requião,119031233,0
Riba de Ave,119031234,917
Ribeirão,119031235,1408
União das freguesias de Antas e Abade de Vermoim,119031250,1570
União das freguesias de Arnoso (Santa Maria e Santa Eulália) e Sezures,119031251,0
União das freguesias de Avidos e Lagoa,119031252,0
União das freguesias de Carreira e Bente,119031253,0
União das freguesias de Esmeriz e Cabeçudos,119031254,0
"União das freguesias de Gondifelos, Cavalões e Outiz",119031255,1328
"União das freguesias de Lemenhe, Mouquim e Jesufrei",119031256,0
União das freguesias de Ruivães e Novais,119031257,0
União das freguesias de Seide,119031258,0
"União das freguesias de Vale (São Cosme), Telhado e Portela",119031259,1091
União das freguesias de Vila Nova de Famalicão e Calendário,119031260,1569
Vale (São Martinho),119031241,0
Vermoim,119031247,0
Vilarinho das Cambas,119031249,0
Vizela,1190314,1089
Área Metropolitana do Porto,11A,1986
Arouca,11A0104,1017
Alvarenga,11A010402,0
Chave,11A010407,0
Escariz,11A010409,0
Fermedo,11A010411,0
Mansores,11A010413,0
Moldes,11A010414,0
Rossas,11A010415,0
Santa Eulália,11A010416,0
São Miguel do Mato,11A010417,0
Tropeço,11A010418,0
União das freguesias de Arouca e Burgo,11A010421,1543
União das freguesias de Cabreiros e Albergaria da Serra,11A010422,0
União das freguesias de Canelas e Espiunca,11A010423,0
União das freguesias de Covelo de Paivó e Janarde,11A010424,0
Urrô,11A010419,0
Várzea,11A010420,0
Espinho,11A0107,2382
Espinho,11A010702,2558
Paramos,11A010704,0
Silvalde,11A010705,1293
União das freguesias de Anta e Guetim,11A010706,1784
Gondomar,11A1304,1746
Baguim do Monte (Rio Tinto),11A130412,1767
Lomba,11A130405,0
Rio Tinto,11A130408,1895
União das freguesias de Fânzeres e São Pedro da Cova,11A130413,1721
União das freguesias de Foz do Sousa e Covelo,11A130414,950
"União das freguesias de Gondomar (São Cosme), Valbom e Jovim",11A130415,1646
União das freguesias de Melres e Medas,11A130416,0
Maia,11A1306,2046
Águas Santas,11A130601,2020
Castêlo da Maia,11A130618,1881
Cidade da Maia,11A130619,2085
Folgosa,11A130603,0
Milheirós,11A130608,1955
Moreira,11A130609,2123
Nogueira e Silva Escura,11A130620,1813
Pedrouços,11A130617,2383
São Pedro Fins,11A130613,0
Vila Nova da Telha,11A130616,2075
Matosinhos,11A1308,2583
"União das freguesias de Custóias, Leça do Balio e Guifões",11A130811,2134
União das freguesias de Matosinhos e Leça da Palmeira,11A130812,3161
"União das freguesias de Perafita, Lavra e Santa Cruz do Bispo",11A130813,2137
União das freguesias de São Mamede de Infesta e Senhora da Hora,11A130814,2453
Oliveira de Azeméis,11A0113,1111
Carregosa,11A011301,0
Cesar,11A011302,0
Fajões,11A011303,0
Loureiro,11A011304,0
Macieira de Sarnes,11A011305,0
Ossela,11A011310,0
São Martinho da Gândara,11A011315,0
São Roque,11A011318,851
União das freguesias de Nogueira do Cravo e Pindelo,11A011320,1209
"União das freguesias de Oliveira de Azeméis, Santiago de Riba-Ul, Ul, Macinhata da Seixa e Madail",11A011321,1198
"União das freguesias de Pinheiro da Bemposta, Travanca e Palmaz",11A011322,978
Vila de Cucujães,11A011319,1071
Paredes,11A1310,1311
Aguiar de Sousa,11A131001,0
Astromil,11A131002,0
Baltar,11A131003,1307
Beire,11A131004,0
Cete,11A131008,0
Cristelo,11A131009,1311
Duas Igrejas,11A131010,0
Gandra,11A131011,1250
Lordelo,11A131013,1063
Louredo,11A131014,0
Parada de Todeia,11A131017,0
Paredes,11A131025,1398
Rebordosa,11A131018,1143
Recarei,11A131019,0
Sobreira,11A131020,1250
Sobrosa,11A131021,0
Vandoma,11A131022,1395
Vilela,11A131024,0
Porto,11A1312,2984
Bonfim,11A131202,2835
Campanhã,11A131203,2891
Paranhos,11A131210,2846
Ramalde,11A131211,2837
"União das freguesias de Aldoar, Foz do Douro e Nevogilde",11A131216,3960
"União das freguesias de Cedofeita, Santo Ildefonso, Sé, Miragaia, São Nicolau e Vitória",11A131217,3202
União das freguesias de Lordelo do Ouro e Massarelos,11A131218,3217
Póvoa de Varzim,11A1313,1921
Balazar,11A131305,0
Estela,11A131307,0
Laundos,11A131308,0
Rates,11A131311,0
"União das freguesias da Póvoa de Varzim, Beiriz e Argivai",11A131315,1979
União das freguesias de Aguçadoura e Navais,11A131314,1435
"União das freguesias de Aver-o-Mar, Amorim e Terroso",11A131313,1908
Santa Maria da Feira,11A0109,1327
Argoncilhe,11A010901,1324
Arrifana,11A010902,1250
Escapães,11A010904,1133
Fiães,11A010907,1299
Fornos,11A010908,0
Lourosa,11A010913,1303
Milheirós de Poiares,11A010914,1085
Mozelos,11A010916,1391
Nogueira da Regedoura,11A010917,1460
Paços de Brandão,11A010919,1350
Rio Meão,11A010921,1355
Romariz,11A010922,0
Sanguedo,11A010924,0
Santa Maria de Lamas,11A010925,1136
São João de Ver,11A010926,1392
São Paio de Oleiros,11A010918,0
União das freguesias de Caldas de São Jorge e Pigeiros,11A010932,0
"União das freguesias de Canedo, Vale e Vila Maior",11A010933,1207
"União das freguesias de Lobão, Gião, Louredo e Guisande",11A010934,1031
"União das freguesias de Santa Maria da Feira, Travanca, Sanfins e Espargo",11A010935,1495
União de freguesias de São Miguel de Souto e Mosteirô,11A010936,1163
Santo Tirso,11A1314,1197
Agrela,11A131401,0
Água Longa,11A131402,0
Aves,11A131405,1261
Monte Córdova,11A131413,0
Negrelos (São Tomé),11A131430,0
Rebordões,11A131416,1174
Reguenga,11A131418,0
Roriz,11A131419,0
"União das freguesias de Areias, Sequeiró, Lama e Palmeira",11A131433,1197
União das freguesias de Carreira e Refojos de Riba de Ave,11A131435,0
União das freguesias de Lamelas e Guimarei,11A131436,0
"União das freguesias de Santo Tirso, Couto (Santa Cristina e São Miguel) e Burgães",11A131437,1319
Vila Nova do Campo,11A131434,993
Vilarinho,11A131432,0
São João da Madeira,11A0116,1288
São João da Madeira,11A011601,1288
Trofa,11A1318,1479
Covelas,11A131806,0
Muro,11A131808,0
União das freguesias de Alvarelhos e Guidões,11A131809,0
União das freguesias de Bougado (São Martinho e Santiago),11A131810,1532
União das freguesias de Coronado (São Romão e São Mamede),11A131811,1478
Vale de Cambra,11A0119,1101
Arões,11A011901,0
Cepelos,11A011903,0
Junqueira,11A011905,0
Macieira de Cambra,11A011906,0
Roge,11A011907,0
São Pedro de Castelões,11A011902,1056
"União das freguesias de Vila Chã, Codal e Vila Cova de Perrinho",11A011910,1375
Valongo,11A1315,1742
Alfena,11A131501,1667
Ermesinde,11A131503,1817
União das freguesias de Campo e Sobrado,11A131506,1450
Valongo,11A131505,1729
Vila do Conde,11A1316,1911
Árvore,11A131602,2138
Aveleda,11A131603,0
Azurara,11A131604,0
Fajozes,11A131607,0
Gião,11A131610,0
Guilhabreu,11A131611,0
