local,codigo,Alojamentos
"União das freguesias de Nogueira, Meixedo e Vilar de Murteda",160945,694
"União das freguesias de Subportela, Deocriste e Portela Susã",160946,1161
União das freguesias de Torre e Vila Mou,160947,583
União das freguesias de Viana do Castelo (Santa Maria Maior e Monserrate) e Meadela,160948,14025
Vila de Punhe,160938,1233
Vila Franca,160935,813
Vila Nova de Cerveira,1610,6221
Cornes,161003,294
Covas,161004,647
Gondarém,161006,700
Loivo,161007,543
Mentrestido,161009,225
Sapardos,161012,261
Sopo,161013,426
União das freguesias de Campos e Vila Meã,161016,920
União das freguesias de Candemil e Gondar,161017,253
União das freguesias de Reboreda e Nogueira,161018,661
União das freguesias de Vila Nova de Cerveira e Lovelhe,161019,1291
Cávado,112,200242
Amares,0301,10132
Barreiros,030102,361
Bico,030104,392
Bouro (Santa Maria),030119,488
Bouro (Santa Marta),030120,298
Caires,030105,479
Carrazedo,030107,387
Dornelas,030108,264
Fiscal,030111,407
Goães,030112,303
Lago,030113,880
Rendufe,030118,521
União das freguesias de Amares e Figueiredo,030125,1465
"União das freguesias de Caldelas, Sequeiros e Paranhos",030126,706
"União das freguesias de Ferreiros, Prozelo e Besteiros",030127,2557
União das freguesias de Torre e Portela,030128,310
"União das freguesias de Vilela, Seramil e Paredes Secas",030129,314
Barcelos,0302,49896
Abade de Neiva,030201,811
Aborim,030202,387
Adães,030203,319
Airó,030205,345
Aldreu,030206,388
Alvelos,030208,803
Arcozelo,030209,5782
Areias,030210,428
Balugães,030212,376
Barcelinhos,030213,924
Barqueiros,030215,898
Cambeses,030216,550
Carapeços,030218,802
Carvalhal,030220,531
Carvalhas,030221,295
Cossourado,030224,403
Cristelo,030228,709
Fornelos,030234,315
Fragoso,030235,915
Galegos (Santa Maria),030268,1157
Galegos (São Martinho),030272,792
Gilmonde,030237,622
Lama,030242,474
Lijó,030243,978
Macieira de Rates,030244,769
Manhente,030245,669
Martim,030247,877
Moure,030252,399
Oliveira,030254,421
Palme,030255,429
Panque,030256,306
Paradela,030257,306
Pereira,030259,458
Perelhal,030260,742
Pousa,030261,798
Remelhe,030263,517
Rio Covo (Santa Eugénia),030265,674
Roriz,030264,765
Silva,030279,352
Tamel (São Veríssimo),030277,1247
Ucha,030282,575
União das freguesias de Alheira e Igreja Nova,030290,735
União das freguesias de Alvito (São Pedro e São Martinho) e Couto,030291,510
União das freguesias de Areias de Vilar e Encourados,030292,651
"União das freguesias de Barcelos, Vila Boa e Vila Frescainha (São Martinho e São Pedro)",030293,5121
União das freguesias de Campo e Tamel (São Pedro Fins),030294,627
União das freguesias de Carreira e Fonte Coberta,030295,840
"União das freguesias de Chorente, Góios, Courel, Pedra Furada e Gueral",030296,1041
União das freguesias de Creixomil e Mariz,030297,467
União das freguesias de Durrães e Tregosa,030298,687
União das freguesias de Gamil e Midões,030299,581
"União das freguesias de Milhazes, Vilar de Figos e Faria",0302FA,841
União das freguesias de Negreiros e Chavão,0302FB,910
União das freguesias de Quintiães e Aguiar,0302FC,470
União das freguesias de Sequeade e Bastuço (São João e Santo Estevão),0302FD,779
União das freguesias de Silveiros e Rio Covo (Santa Eulália),0302FE,872
União das freguesias de Tamel (Santa Leocádia) e Vilar do Monte,0302FF,522
"União das freguesias de Viatodos, Grimancelos, Minhotães e Monte de Fralães",0302FG,1581
União das freguesias de Vila Cova e Feitos,0302FH,1065
Várzea,030283,835
Vila Seca,030287,453
Braga,0303,88745
Adaúfe,030301,1555
Braga (São Vicente),030349,6791
Braga (São Vítor),030351,16993
Espinho,030312,405
Esporões,030313,693
Figueiredo,030315,448
Gualtar,030319,3472
Lamas,030322,319
Mire de Tibães,030325,921
Padim da Graça,030330,608
Palmeira,030331,2392
Pedralva,030334,546
Priscos,030336,576
Ruilhe,030338,493
Sequeira,030354,759
Sobreposta,030355,503
Tadim,030356,510
Tebosa,030357,465
União das freguesias de Arentim e Cunha,030363,609
"União das freguesias de Braga (Maximinos, Sé e Cividade)",030364,7613
União das freguesias de Braga (São José de São Lázaro e São João do Souto),030365,7491
União das freguesias de Cabreiros e Passos (São Julião),030366,830
"União das freguesias de Celeirós, Aveleda e Vimieiro",030367,2804
União das freguesias de Crespos e Pousada,030368,604
União das freguesias de Escudeiros e Penso (Santo Estêvão e São Vicente),030369,765
União das freguesias de Este (São Pedro e São Mamede),030370,1720
União das freguesias de Ferreiros e Gondizalves,030371,4245
União das freguesias de Guisande e Oliveira (São Pedro),030372,398
União das freguesias de Lomar e Arcos,030373,3101
"União das freguesias de Merelim (São Paio), Panoias e Parada de Tibães",030374,2218
União das freguesias de Merelim (São Pedro) e Frossos,030375,1536
União das freguesias de Morreira e Trandeiras,030376,571
"União das freguesias de Nogueira, Fraião e Lamaçães",030377,6313
União das freguesias de Nogueiró e Tenões,030378,2533
"União das freguesias de Real, Dume e Semelhe",030379,5829
União das freguesias de Santa Lucrécia de Algeriz e Navarra,030380,440
União das freguesias de Vilaça e Fradelos,030381,676
Esposende,0306,22062
Antas,030601,1251
Forjães,030608,1254
Gemeses,030610,665
União das freguesias de Apúlia e Fão,030616,6120
União das freguesias de Belinho e Mar,030617,1574
"União das freguesias de Esposende, Marinhas e Gandra",030618,8357
União das freguesias de Fonte Boa e Rio Tinto,030619,733
União das freguesias de Palmeira de Faro e Curvos,030620,1500
Vila Chã,030615,608
Terras de Bouro,0310,4888
Balança,031001,210
Campo do Gerês,031003,157
Carvalheira,031004,254
Covide,031008,239
Gondoriz,031009,278
Moimenta,031010,483
Ribeira,031012,140
Rio Caldo,031013,590
Souto,031014,276
União das freguesias de Chamoim e Vilar,031018,329
União das freguesias de Chorense e Monte,031019,351
União das freguesias de Cibões e Brufe,031020,300
Valdosende,031015,424
Vilar da Veiga,031017,857
Vila Verde,0313,24519
Aboim da Nóbrega e Gondomar,031359,695
Atiães,031304,234
Cabanelas,031308,873
Cervães,031309,1006
Coucieiro,031311,276
Dossãos,031313,226
Freiriz,031316,502
Gême,031317,255
Lage,031323,1482
Lanhas,031324,284
Loureira,031325,547
Moure,031328,715
Oleiros,031330,608
Parada de Gatim,031331,340
Pico,031335,310
Ponte,031337,249
Prado (São Miguel),031350,362
Sabariz,031340,253
Soutelo,031352,983
Turiz,031354,837
União das freguesias da Ribeira do Neiva,031360,2102
União das freguesias de Carreiras (São Miguel) e Carreiras (Santiago),031361,462
União das freguesias de Escariz (São Mamede) e Escariz (São Martinho),031362,426
"União das freguesias de Esqueiros, Nevogilde e Travassós",031363,449
União das freguesias de Marrancos e Arcozelo,031364,492
União das freguesias de Oriz (Santa Marinha) e Oriz (São Miguel),031365,288
"União das freguesias de Pico de Regalados, Gondiães e Mós",031366,768
"União das freguesias de Sande, Vilarinho, Barros e Gomide",031367,792
"União das freguesias de Valbom (São Pedro), Passô e Valbom (São Martinho)",031368,380
União das freguesias do Vade,031369,1083
Valdreu,031355,437
Vila de Prado,031342,2066
Vila Verde e Barbudo,031370,3737
Ave,119,198786
Cabeceiras de Basto,0304,9779
Abadim,030401,320
Basto,030404,449
Bucos,030405,328
Cabeceiras de Basto,030406,482
Cavez,030407,918
Faia,030408,286
Pedraça,030413,462
Rio Douro,030415,682
União das freguesias de Alvite e Passos,030418,602
União das freguesias de Arco de Baúlhe e Vila Nune,030419,1162
União das freguesias de Gondiães e Vilar de Cunhas,030420,445
"União das freguesias de Refojos de Basto, Outeiro e Painzela",030421,3643
Fafe,0307,26407
Armil,030705,357
Arões (Santa Cristina),030726,740
Arões (São Romão),030730,1479
Estorãos,030708,827
Fafe,030709,8195
Fornelos,030712,773
Golães,030714,981
Medelo,030716,779
Paços,030719,502
Quinchães,030722,1160
Regadas,030723,785
Revelhe,030724,456
Ribeiros,030725,340
São Gens,030728,946
Silvares (São Martinho),030729,642
Travassós,030733,785
"União de freguesias de Aboim, Felgueiras, Gontim e Pedraído",030737,656
União de freguesias de Agrela e Serafão,030738,682
União de freguesias de Antime e Silvares (São Clemente),030739,1006
"União de freguesias de Ardegão, Arnozela e Seidões",030740,557
União de freguesias de Cepães e Fareja,030741,1044
União de freguesias de Freitas e Vila Cova,030742,487
União de freguesias de Monte e Queimadela,030743,693
União de freguesias de Moreira do Rei e Várzea Cova,030744,1183
Vinhós,030736,352
Guimarães,0308,69913
Aldão,030801,521
Azurém,030804,4554
Barco,030806,634
Brito,030807,1934
Caldelas,030808,2888
Candoso (São Martinho),030857,580
Costa,030812,2350
Creixomil,030813,4432
Fermentões,030815,2389
Gonça,030820,446
Gondar,030821,1147
Guardizela,030823,1000
Infantas,030824,753
Longos,030827,623
Lordelo,030828,1727
Mesão Frio,030830,1741
Moreira de Cónegos,030831,1989
Nespereira,030832,1045
Pencelo,030835,528
Pinheiro,030836,476
Polvoreira,030837,1477
Ponte,030838,2829
Prazins (Santa Eufémia),030842,526
Ronfe,030840,1843
Sande (São Martinho),030858,1166
São Torcato,030865,1522
Selho (São Cristóvão),030850,945
Selho (São Jorge),030854,2447
Serzedelo,030866,1471
Silvares,030868,950
União das freguesias de Abação e Gémeos,030875,1067
"União das freguesias de Airão Santa Maria, Airão São João e Vermil",030876,1370
União das freguesias de Arosa e Castelões,030877,479
União das freguesias de Atães e Rendufe,030878,1188
União das freguesias de Briteiros Santo Estêvão e Donim,030879,978
União das freguesias de Briteiros São Salvador e Briteiros Santa Leocádia,030880,849
União das freguesias de Candoso São Tiago e Mascotelos,030881,1568
União das freguesias de Conde e Gandarela,030882,1023
"União das freguesias de Leitões, Oleiros e Figueiredo",030883,609
"União das freguesias de Oliveira, São Paio e São Sebastião",030884,4246
União das freguesias de Prazins Santo Tirso e Corvite,030885,823
União das freguesias de Sande São Lourenço e Balazar,030886,809
União das freguesias de Sande Vila Nova e Sande São Clemente,030887,1537
União das freguesias de Selho São Lourenço e Gominhães,030888,951
União das freguesias de Serzedo e Calvos,030889,954
"União das freguesias de Souto Santa Maria, Souto São Salvador e Gondomar",030890,1033
União das freguesias de Tabuadelo e São Faustino,030891,1034
Urgezes,030871,2462
Mondim de Basto,1705,4586
Atei,170501,705
Bilhó,170502,387
São Cristóvão de Mondim de Basto,170505,1792
União das freguesias de Campanhó e Paradança,170509,518
União das freguesias de Ermelo e Pardelhas,170510,507
Vilar de Ferreiros,170508,677
Póvoa de Lanhoso,0309,12498
Covelas,030906,207
Ferreiros,030908,193
Galegos,030912,317
Garfe,030913,579
Geraz do Minho,030914,276
Lanhoso,030915,440
Monsul,030917,380
Póvoa de Lanhoso (Nossa Senhora do Amparo),030919,3156
Rendufinho,030921,379
Santo Emilião,030922,420
São João de Rei,030923,229
Serzedelo,030924,454
Sobradelo da Goma,030925,502
Taíde,030926,960
Travassos,030927,385
União das freguesias de Águas Santas e Moure,030930,338
União das freguesias de Calvos e Frades,030931,398
União das freguesias de Campos e Louredo,030932,721
União das freguesias de Esperança e Brunhais,030933,430
União das freguesias de Fonte Arcada e Oliveira,030934,926
"União das freguesias de Verim, Friande e Ajude",030935,454
Vilela,030929,354
Vieira do Minho,0311,8022
Cantelães,031105,420
Eira Vedra,031107,349
Guilhofrei,031108,629
Louredo,031109,287
Mosteiro,031110,424
Parada de Bouro,031111,310
Pinheiro,031112,253
Rossas,031113,1055
Salamonde,031115,334
Tabuaças,031118,510
União das freguesias de Anissó e Soutelo,031122,252
