local,codigo,Alojamentos
Pitões das Junias,170623,213
Reigoso,170625,242
Salto,170626,1185
Santo André,170627,260
Sarraquinhos,170629,300
Solveira,170631,283
Tourém,170632,239
"União das freguesias de Cambeses do Rio, Donões e Mourilhe",170636,415
União das freguesias de Meixedo e Padornelos,170637,557
União das freguesias de Montalegre e Padroso,170638,1407
"União das freguesias de Paradela, Contim e Fiães",170639,422
União das freguesias de Sezelhe e Covelães,170640,337
União das freguesias de Venda Nova e Pondras,170641,529
União das freguesias de Viade de Baixo e Fervidelas,170642,789
União das freguesias de Vilar de Perdizes e Meixide,170643,605
Vila da Ponte,170635,166
Ribeira de Pena,1709,5050
Alvadia,170901,168
Canedo,170902,398
Santa Marinha,170906,495
União das freguesias de Cerva e Limões,170908,1794
União das freguesias de Ribeira de Pena (Salvador) e Santo Aleixo de Além-Tâmega,170909,2195
Valpaços,1712,13648
Água Revés e Crasto,171201,284
Algeriz,171203,411
Bouçoães,171205,351
Canaveses,171206,155
Carrazedo de Montenegro e Curros,171232,1432
Ervões,171209,498
Fornos do Pinhal,171211,314
Friões,171212,570
"Lebução, Fiães e Nozelos",171233,681
Padrela e Tazem,171215,334
Possacos,171216,362
Rio Torto,171217,307
Santa Maria de Emeres,171219,275
Santa Valha,171220,352
Santiago da Ribeira de Alhariz,171221,585
São João da Corveira,171222,505
São Pedro de Veiga de Lila,171223,225
Serapicos,171224,185
Sonim e Barreiros,171234,373
Tinhela e Alvarelhos,171235,386
Vales,171227,228
Valpaços e Sanfins,171236,3558
Vassal,171229,358
Veiga de Lila,171230,192
Vilarandelo,171231,727
Vila Pouca de Aguiar,1713,10288
Alfarela de Jales,171302,337
Alvão,171319,766
Bornes de Aguiar,171303,1554
Bragado,171304,469
Capeludos,171305,445
Sabroso de Aguiar,171317,482
Soutelo de Aguiar,171310,523
Telões,171311,1015
Tresminas,171312,373
União das freguesias de Pensalvos e Parada de Monteiros,171320,380
Valoura,171313,336
Vila Pouca de Aguiar,171314,2183
Vreia de Bornes,171315,520
Vreia de Jales,171316,905
Tâmega e Sousa,11C,204391
Amarante,1301,29443
Ansiães,130103,510
Candemil,130107,556
Fregim,130112,1198
Fridão,130115,426
Gondar,130117,942
Gouveia (São Simão),130134,405
Jazente,130118,303
Lomba,130119,483
Louredo,130120,331
Lufrei,130121,957
Mancelos,130123,1487
Padronelo,130126,480
Rebordelo,130128,195
Salvador do Monte,130129,531
Telões,130135,2153
Travanca,130136,1011
"União das freguesias de Aboadela, Sanche e Várzea",130141,1088
"União das freguesias de Amarante (São Gonçalo), Madalena, Cepelos e Gatão",130142,6294
"União das freguesias de Bustelo, Carneiro e Carvalho de Rei",130143,785
União das freguesias de Figueiró (Santiago e Santa Cristina),130144,1887
União das freguesias de Freixo de Cima e de Baixo,130145,1725
União das freguesias de Olo e Canadelo,130146,429
"União das freguesias de Vila Garcia, Aboim e Chapa",130148,964
Vila Caiz,130138,1360
Vila Chã do Marão,130139,563
Vila Meã,130147,2380
Baião,1302,11879
Frende,130204,406
Gestaçô,130205,819
Gove,130206,1111
Grilo,130207,282
Loivos do Monte,130208,220
Santa Marinha do Zêzere,130215,1518
União das freguesias de Ancede e Ribadouro,130221,1499
União das freguesias de Baião (Santa Leocádia) e Mesquinhata,130222,564
União das freguesias de Campelo e Ovil,130223,2306
União das freguesias de Loivos da Ribeira e Tresouras,130224,450
União das freguesias de Santa Cruz do Douro e São Tomé de Covelas,130225,1248
União das freguesias de Teixeira e Teixeiró,130226,668
Valadares,130219,498
Viariz,130220,290
Castelo de Paiva,0106,7646
Fornos,010602,656
Real,010606,654
Santa Maria de Sardoura,010607,1109
São Martinho de Sardoura,010608,798
"União das freguesias de Raiva, Pedorido e Paraíso",010610,2241
União das freguesias de Sobrado e Bairros,010611,2188
Celorico de Basto,0305,10919
Agilde,030501,643
Arnóia,030502,1012
Basto (São Clemente),030520,856
Borba de Montanha,030503,557
Codeçoso,030508,269
Fervença,030510,775
Moreira do Castelo,030515,292
Rego,030517,727
Ribas,030518,519
"União das freguesias de Britelo, Gémeos e Ourilhe",030523,2115
União das freguesias de Caçarilhe e Infesta,030524,418
União das freguesias de Canedo de Basto e Corgo,030525,707
União das freguesias de Carvalho e Basto (Santa Tecla),030526,556
"União das freguesias de Veade, Gagos e Molares",030527,1009
Vale de Bouro,030521,464
Cinfães,1804,12149
Cinfães,180403,2040
Espadanedo,180404,577
Ferreiros de Tendais,180405,706
Fornelos,180406,491
Moimenta,180408,256
Nespereira,180409,1347
Oliveira do Douro,180410,912
Santiago de Piães,180412,909
São Cristóvão de Nogueira,180413,983
Souselo,180414,1476
Tarouquela,180415,538
Tendais,180416,772
Travanca,180417,442
"União das freguesias de Alhões, Bustelo, Gralheira e Ramires",180418,700
Felgueiras,1303,25244
Aião,130301,377
Airães,130302,1089
Friande,130305,741
Idães,130306,1080
Jugueiros,130307,602
Penacova,130313,446
Pinheiro,130314,480
Pombeiro de Ribavizela,130315,864
Refontoura,130317,783
Regilde,130318,508
Revinhade,130319,324
Sendim,130324,694
União das freguesias de Macieira da Lixa e Caramos,130334,1680
"União das freguesias de Margaride (Santa Eulália), Várzea, Lagares, Varziela e Moure",130335,7816
"União das freguesias de Pedreira, Rande e Sernande",130336,1481
União das freguesias de Torrados e Sousa,130337,1375
União das freguesias de Unhão e Lordelo,130338,486
União das freguesias de Vila Cova da Lixa e Borba de Godim,130339,3157
União das freguesias de Vila Fria e Vizela (São Jorge),130340,505
União das freguesias de Vila Verde e Santão,130341,756
Lousada,1305,20046
Aveleda,130502,871
Caíde de Rei,130504,1114
Lodares,130510,816
Macieira,130512,565
Meinedo,130513,1660
Nevogilde,130515,949
Sousela,130524,748
Torno,130525,1109
União das freguesias de Cernadelo e Lousada (São Miguel e Santa Margarida),130527,962
"União das freguesias de Cristelos, Boim e Ordem",130528,3076
União das freguesias de Figueiras e Covas,130529,861
União das freguesias de Lustosa e Barrosas (Santo Estêvão),130530,2480
União das freguesias de Nespereira e Casais,130531,1396
"União das freguesias de Silvares, Pias, Nogueira e Alvarenga",130532,2826
Vilar do Torno e Alentém,130526,613
Marco de Canaveses,1307,25069
"Alpendorada, Várzea e Torrão",130732,3689
Avessadas e Rosém,130733,795
Banho e Carvalhosa,130704,626
Bem Viver,130734,1875
Constance,130705,710
Marco,130736,5206
Paredes de Viadores e Manhuncelos,130737,855
Penha Longa e Paços de Gaiolo,130738,1586
Sande e São Lourenço do Douro,130739,1426
Santo Isidoro e Livração,130735,939
Soalhães,130722,1688
Sobretâmega,130723,499
Tabuado,130724,600
"Várzea, Aliviada e Folhada",130740,1430
Vila Boa de Quires e Maureles,130741,1591
Vila Boa do Bispo,130730,1554
Paços de Ferreira,1309,22399
Carvalhosa,130902,1766
Eiriz,130904,851
Ferreira,130905,1625
Figueiró,130906,965
Frazão Arreigada,130917,2394
Freamunde,130908,3036
Meixomil,130910,1550
Paços de Ferreira,130918,4094
Penamaior,130913,1461
Raimonda,130914,1029
Sanfins Lamoso Codessos,130919,2305
Seroa,130916,1323
Penafiel,1311,31885
Abragão,131101,1131
Boelhe,131102,733
Bustelo,131103,750
Cabeça Santa,131104,949
Canelas,131105,719
Capela,131106,466
Castelões,131107,690
Croca,131108,795
Duas Igrejas,131109,1007
Eja,131110,527
Fonte Arcada,131112,664
Galegos,131113,1107
Guilhufe e Urrô,131141,1612
Irivo,131115,887
Lagares e Figueira,131142,1124
Luzim e Vila Cova,131140,846
Oldrões,131121,808
Paço de Sousa,131122,1679
Penafiel,131139,7458
Perozelo,131125,588
Rans,131128,780
Recezinhos (São Mamede),131132,712
Recezinhos (São Martinho),131133,754
Rio de Moinhos,131129,1275
Rio Mau,131138,671
Sebolido,131134,356
Termas de São Vicente,131143,2186
Valpedre,131136,611
Resende,1813,7712
Barrô,181302,556
Cárquere,181303,488
Paus,181310,496
Resende,181311,1841
São Cipriano,181312,478
São João de Fontoura,181313,421
São Martinho de Mouros,181314,1043
União das freguesias de Anreade e São Romão de Aregos,181316,1024
União das freguesias de Felgueiras e Feirão,181317,350
União das freguesias de Freigil e Miomães,181318,556
União das freguesias de Ovadas e Panchorra,181319,459
Douro,11D,140560
Alijó,1701,8681
Alijó,170101,1596
Favaios,170107,761
Pegarinhos,170108,419
Pinhão,170109,377
Sanfins do Douro,170112,1052
Santa Eugénia,170113,224
São Mamede de Ribatua,170114,562
União das freguesias de Carlão e Amieiro,170120,733
União das freguesias de Castedo e Cotas,170121,467
União das freguesias de Pópulo e Ribalonga,170122,468
"União das freguesias de Vale de Mendiz, Casal de Loivos e Vilarinho de Cotas",170123,371
Vila Chã,170116,404
Vila Verde,170117,564
Vilar de Maçada,170118,683
Armamar,1801,4855
Aldeias,180101,244
Armamar,180120,919
Cimbres,180104,286
Folgosa,180106,254
Fontelo,180107,495
Queimada,180109,252
Queimadela,180110,160
Santa Cruz,180111,186
São Cosmado,180114,449
São Martinho das Chãs,180115,417
União das freguesias de Aricera e Goujoim,180121,262
União das freguesias de São Romão e Santiago,180122,287
União das freguesias de Vila Seca e Santo Adrião,180123,464
Vacalar,180118,180
Carrazeda de Ansiães,0403,5358
Carrazeda de Ansiães,040304,1067
Fonte Longa,040306,214
Linhares,040308,405
Marzagão,040309,279
Parambos,040311,216
Pereiros,040312,235
Pinhal do Norte,040313,260
Pombal,040314,246
Seixo de Ansiães,040316,322
União das freguesias de Amedo e Zedes,040320,393
União das freguesias de Belver e Mogo de Malta,040321,285
União das freguesias de Castanheiro do Norte e Ribalonga,040322,514
"União das freguesias de Lavandeira, Beira Grande e Selores",040323,429
Vilarinho da Castanheira,040318,493
Freixo de Espada à Cinta,0404,3217
Ligares,040404,353
Poiares,040406,317
União das freguesias de Freixo de Espada à Cinta e Mazouco,040407,1638
União das freguesias de Lagoaça e Fornos,040408,909
Lamego,1805,16685
Avões,180502,329
Britiande,180504,588
Cambres,180505,1208
Ferreirim,180507,634
Ferreiros de Avões,180508,256
Figueira,180509,248
Lalim,180510,559
Lamego (Almacave e Sé),180525,7122
Lazarim,180511,511
Penajóia,180516,689
Penude,180517,965
Samodães,180519,162
Sande,180520,476
"União das freguesias de Bigorne, Magueija e Pretarouca",180526,716
"União das freguesias de Cepões, Meijinhos e Melcões",180527,790
União das freguesias de Parada do Bispo e Valdigem,180528,680
Várzea de Abrunhais,180523,284
Vila Nova de Souto d'El-Rei,180524,468
Mesão Frio,1704,2392
Barqueiros,170401,425
Cidadelhe,170402,105
Mesão Frio (Santo André),170408,957
Oliveira,170403,215
Vila Marim,170407,690
Moimenta da Beira,1807,7917
Alvite,180702,678
Arcozelos,180703,497
Baldos,180705,136
Cabaços,180706,278
Caria,180707,477
Castelo,180708,249
Leomil,180709,806
Moimenta da Beira,180710,1928
Passô,180713,291
Sarzedo,180717,141
Sever,180719,468
União das freguesias de Paradinha e Nagosa,180721,286
"União das freguesias de Pêra Velha, Aldeia de Nacomba e Ariz",180722,418
União das freguesias de Peva e Segões,180723,567
Vila da Rua,180716,400
Vilar,180720,297
Murça,1707,4250
Candedo,170701,742
Fiolhoso,170703,487
Jou,170704,460
Murça,170705,1197
União das freguesias de Carva e Vilares,170710,457
União das freguesias de Noura e Palheiros,170711,633
Valongo de Milhais,170708,274
Penedono,1812,2787
Beselga,181202,336
Castainço,181203,172
Penela da Beira,181207,342
Póvoa de Penela,181208,314
Souto,181209,274
União das freguesias de Antas e Ourozinho,181210,439
União das freguesias de Penedono e Granja,181211,910
Peso da Régua,1708,9368
Fontelas,170802,392
Loureiro,170805,669
Sedielos,170809,682
União das freguesias de Galafura e Covelinhas,170813,634
União das freguesias de Moura Morta e Vinhós,170814,648
União das freguesias de Peso da Régua e Godim,170815,4868
União das freguesias de Poiares e Canelas,170816,923
Vilarinho dos Freires,170810,552
Sabrosa,1710,4820
Celeirós,171001,149
Covas do Douro,171002,392
Gouvinhas,171004,215
Paços,171007,545
Parada de Pinhão,171005,308
Sabrosa,171009,681
São Lourenço de Ribapinhão,171011,282
Souto Maior,171013,340
Torre do Pinhão,171014,265
"União das freguesias de Provesende, Gouvães do Douro e São Cristóvão do Douro",171016,499
União das freguesias de São Martinho de Antas e Paradela de Guiães,171017,922
Vilarinho de São Romão,171015,222
Santa Marta de Penaguião,1711,4661
Alvações do Corgo,171101,320
Cumieira,171102,705
Fontes,171103,705
Medrões,171106,353
Sever,171110,534
União das freguesias de Lobrigos (São Miguel e São João Baptista) e Sanhoane,171111,1559
União das freguesias de Louredo e Fornelos,171112,485
São João da Pesqueira,1815,5651
Castanheiro do Sul,181501,296
Ervedosa do Douro,181502,866
Nagozelo do Douro,181504,279
Paredes da Beira,181505,476
Riodades,181507,449
Soutelo do Douro,181509,352
União das freguesias de São João da Pesqueira e Várzea de Trevões,181515,1346
União das freguesias de Trevões e Espinhosa,181516,578
União das freguesias de Vilarouco e Pereiros,181517,355
Vale de Figueira,181511,482
Valongo dos Azeites,181512,172
Sernancelhe,1818,4635
Arnas,181801,212
Carregal,181802,392
Chosendo,181803,236
Cunha,181804,278
Faia,181806,141
Granjal,181810,225
Lamosa,181811,175
Quintela,181814,196
União das freguesias de Ferreirim e Macieira,181818,482
União das freguesias de Fonte Arcada e Escurquela,181819,410
União das freguesias de Penso e Freixinho,181820,326
União das freguesias de Sernancelhe e Sarzeda,181821,1226
Vila da Ponte,181817,336
Tabuaço,1819,4336
Adorigo,181901,274
Arcos,181902,213
Chavães,181904,301
Desejosa,181905,114
Granja do Tedo,181906,178
Longa,181908,278
Sendim,181913,572
Tabuaço,181914,921
União das freguesias de Barcos e Santa Leocádia,181918,470
União das freguesias de Paradela e Granjinha,181919,177
União das freguesias de Pinheiros e Vale de Figueira,181920,272
União das freguesias de Távora e Pereiro,181921,350
Valença do Douro,181917,216
Tarouca,1820,6248
Mondim da Beira,182004,456
Salzedas,182005,503
São João de Tarouca,182006,479
União das freguesias de Gouviães e Ucanha,182011,663
União das freguesias de Granja Nova e Vila Chã da Beira,182012,573
União das freguesias de Tarouca e Dálvares,182013,2957
Várzea da Serra,182009,617
Torre de Moncorvo,0409,7316
Açoreira,040901,310
Cabeça Boa,040903,359
Carviçais,040905,610
Castedo,040906,207
Horta da Vilariça,040909,313
Larinho,040910,349
Lousa,040911,570
Mós,040913,282
Torre de Moncorvo,040916,1872
União das freguesias de Adeganha e Cardanha,040918,572
União das freguesias de Felgar e Souto da Velha,040919,899
União das freguesias de Felgueiras e Maçores,040920,488
União das freguesias de Urros e Peredo dos Castelhanos,040921,485
Vila Nova de Foz Côa,0914,6524
Almendra,091401,419
Castelo Melhor,091402,310
Cedovim,091403,359
Chãs,091404,227
Custóias,091405,229
Freixo de Numão,091418,672
Horta,091407,219
Muxagata,091410,250
Numão,091411,237
Santa Comba,091412,278
Sebadelhe,091414,254
Seixas,091415,289
Touça,091416,193
Vila Nova de Foz Côa,091419,2588
Vila Real,1714,30859
Abaças,171401,758
Andrães,171403,1054
Arroios,171404,575
Campeã,171406,1051
Folhadela,171409,1254
Guiães,171410,374
Lordelo,171414,1551
Mateus,171415,1751
Mondrões,171416,637
Parada de Cunhos,171420,990
Torgueda,171426,889
União das freguesias de Adoufe e Vilarinho de Samardã,171431,1567
União das freguesias de Borbela e Lamas de Olo,171432,1558
União das freguesias de Constantim e Vale de Nogueiras,171433,1109
União das freguesias de Mouçós e Lamares,171434,2034
União das freguesias de Nogueira e Ermida,171435,680
"União das freguesias de Pena, Quintã e Vila Cova",171436,652
União das freguesias de São Tomé do Castelo e Justes,171437,1078
Vila Marim,171429,818
Vila Real,171438,10479
Terras de Trás-os-Montes,11E,87285
Alfândega da Fé,0401,3884
Alfândega da Fé,040102,1247
Cerejais,040103,158
Sambade,040111,398
"União das freguesias de Agrobom, Saldonha e Vale Pereiro",040121,263
"União das freguesias de Eucisia, Gouveia e Valverde",040122,329
União das freguesias de Ferradosa e Sendim da Serra,040123,253
União das freguesias de Gebelim e Soeima,040124,268
União das freguesias de Parada e Sendim da Ribeira,040125,233
União das freguesias de Pombal e Vales,040126,147
Vilar Chão,040118,199
Vilarelhos,040119,187
Vilares de Vilariça,040120,202
Bragança,0402,25755
Alfaião,040201,150
Babe,040203,223
Baçal,040204,327
Carragosa,040206,190
Castro de Avelãs,040209,309
Coelhoso,040210,328
Donai,040212,303
Espinhosela,040213,258
França,040215,242
Gimonde,040216,236
Gondesende,040217,134
Gostei,040218,281
Grijó de Parada,040219,233
Macedo do Mato,040221,223
Mós,040224,172
Nogueira,040225,251
Outeiro,040226,296
Parâmio,040229,216
Pinela,040230,257
Quintanilha,040232,223
Quintela de Lampaças,040233,236
Rabal,040234,173
Rebordãos,040236,336
Salsas,040239,304
Samil,040240,726
Santa Comba de Rossas,040241,237
São Pedro de Sarracenos,040244,198
Sendas,040246,157
Serapicos,040247,244
Sortes,040248,179
União das freguesias de Aveleda e Rio de Onor,040250,361
União das freguesias de Castrelos e Carrazedo,040251,289
"União das freguesias de Izeda, Calvelhe e Paradinha Nova",040252,813
União das freguesias de Parada e Faílde,040253,631
União das freguesias de Rebordainhos e Pombares,040254,178
União das freguesias de Rio Frio e Milhão,040255,374
União das freguesias de São Julião de Palácios e Deilão,040256,401
"União das freguesias de Sé, Santa Maria e Meixedo",040257,14928
Zoio,040249,138
Macedo de Cavaleiros,0405,11798
Amendoeira,040502,321
Arcas,040503,212
Carrapatas,040507,133
Chacim,040509,227
Cortiços,040510,274
Corujas,040511,134
Ferreira,040514,193
Grijó,040515,307
Lagoa,040516,278
Lamalonga,040517,377
Lamas,040518,192
Lombo,040519,174
Macedo de Cavaleiros,040520,4119
Morais,040521,448
Olmos,040523,157
Peredo,040524,191
Salselas,040526,334
Sezulfe,040528,175
Talhas,040530,270
União das freguesias de Ala e Vilarinho do Monte,040539,402
União das freguesias de Bornes e Burga,040540,331
União das freguesias de Castelãos e Vilar do Monte,040541,307
"União das freguesias de Espadanedo, Edroso, Murçós e Soutelo Mourisco",040542,501
União das freguesias de Podence e Santa Combinha,040543,289
União das freguesias de Talhinhas e Bagueixe,040544,325
Vale Benfeito,040532,182
Vale da Porca,040533,206
Vale de Prados,040534,301
Vilarinho de Agrochão,040536,161
Vinhas,040538,277
Miranda do Douro,0406,5753
Duas Igrejas,040604,472
Genísio,040605,207
Malhadas,040607,241
Miranda do Douro,040608,1556
Palaçoulo,040609,329
Picote,040611,250
Póvoa,040612,149
São Martinho de Angueira,040613,332
União das freguesias de Constantim e Cicouro,040618,208
União das freguesias de Ifanes e Paradela,040619,277
União das freguesias de Sendim e Atenor,040620,1136
União das freguesias de Silva e Águas Vivas,040621,318
Vila Chã de Braciosa,040616,278
Mirandela,0407,15423
Abambres,040701,268
Abreiro,040702,271
Aguieiras,040703,258
Alvites,040704,199
Bouça,040708,247
Cabanelas,040709,228
Caravelas,040710,149
Carvalhais,040711,663
Cedães,040712,299
Cobro,040713,111
Fradizela,040714,215
Frechas,040716,546
Lamas de Orelhão,040718,147
Mascarenhas,040720,469
Mirandela,040721,6927
Múrias,040722,217
Passos,040724,245
São Pedro Velho,040727,309
São Salvador,040728,174
Suçães,040729,426
Torre de Dona Chama,040730,825
União das freguesias de Avantos e Romeu,040738,270
"União das freguesias de Avidagos, Navalho e Pereira",040739,292
"União das freguesias de Barcel, Marmelos e Valverde da Gestosa",040740,310
União das freguesias de Franco e Vila Boa,040741,259
União das freguesias de Freixeda e Vila Verde,040742,144
Vale de Asnes,040731,180
Vale de Gouvinhas,040732,290
Vale de Salgueiro,040733,263
Vale de Telhas,040734,222
Mogadouro,0408,7337
Azinhoso,040801,250
Bemposta,040802,555
Bruçó,040803,204
Brunhoso,040804,210
Castelo Branco,040807,402
Castro Vicente,040808,245
Meirinhos,040809,252
Paradela,040811,104
Penas Roias,040812,269
Peredo da Bemposta,040813,179
Saldanha,040815,150
São Martinho do Peso,040817,291
Tó,040819,155
Travanca,040820,135
"União das freguesias de Brunhozinho, Castanheira e Sanhoane",040829,222
"União das freguesias de Mogadouro, Valverde, Vale de Porco e Vilar de Rei",040830,2537
União das freguesias de Remondes e Soutelo,040831,261
União das freguesias de Vilarinho dos Galegos e Ventozelo,040832,330
Urrós,040821,277
Vale da Madre,040822,107
Vila de Ala,040826,202
Vila Flor,0410,5338
Benlhevai,041002,184
Freixiel,041005,536
Roios,041009,130
Samões,041010,279
Sampaio,041011,136
Santa Comba de Vilariça,041012,284
Seixo de Manhoses,041013,313
Trindade,041014,143
União das freguesias de Assares e Lodões,041020,207
União das freguesias de Candoso e Carvalho de Egas,041021,291
União das freguesias de Valtorno e Mourão,041022,433
União das freguesias de Vila Flor e Nabo,041023,1668
União das freguesias de Vilas Boas e Vilarinho das Azenhas,041024,590
Vale Frechoso,041015,144
Vimioso,0411,4774
Argozelo,041103,836
Carção,041107,503
Matela,041108,284
Pinelo,041109,268
Santulhão,041110,451
"União das freguesias de Algoso, Campo de Víboras e Uva",041115,641
União das freguesias de Caçarelhos e Angueira,041116,306
União das freguesias de Vale de Frades e Avelanoso,041117,447
Vilar Seco,041113,138
Vimioso,041114,900
Vinhais,0412,7223
Agrochão,041201,237
Candedo,041203,227
Celas,041204,244
Edral,041206,202
Edrosa,041207,136
Ervedosa,041208,318
Paçó,041215,127
Penhas Juntas,041216,229
Rebordelo,041219,454
Santalha,041221,247
Tuizelo,041226,322
União das freguesias de Curopos e Vale de Janeiro,041236,292
União das freguesias de Moimenta e Montouto,041237,260
União das freguesias de Nunes e Ousilhão,041238,192
União das freguesias de Quirás e Pinheiro Novo,041239,294
União das freguesias de Sobreiro de Baixo e Alvaredos,041240,238
"União das freguesias de Soeira, Fresulfe e Mofreita",041241,232
União das freguesias de Travanca e Santa Cruz,041242,119
União das freguesias de Vilar de Lomba e São Jomil,041243,188
Vale das Fontes,041227,278
Vila Boa de Ousilhão,041229,136
Vila Verde,041230,145
Vilar de Ossos,041232,245
Vilar de Peregrinos,041233,126
Vilar Seco de Lomba,041234,217
Vinhais,041235,1518
Centro,16,1473384
Oeste,16B,228689
Alcobaça,1001,35517
Alfeizerão,100102,2511
Aljubarrota,100120,3613
Bárrio,100104,828
Benedita,100105,4015
Cela,100106,1795
Évora de Alcobaça,100108,2335
Maiorga,100109,1172
São Martinho do Porto,100112,5000
Turquel,100114,2348
União das freguesias de Alcobaça e Vestiaria,100121,4321
"União das freguesias de Coz, Alpedriz e Montes",100122,1830
União das freguesias de Pataias e Martingança,100123,4705
Vimeiro,100116,1044
Alenquer,1101,23656
Carnota,110106,945
Meca,110107,927
Olhalvo,110108,1031
Ota,110109,670
União das freguesias de Abrigada e Cabanas de Torres,110117,2535
União das freguesias de Aldeia Galega da Merceana e Aldeia Gavinha,110118,1825
União das freguesias de Alenquer (Santo Estêvão e Triana),110119,5894
União das freguesias de Carregado e Cadafais,110120,6646
União das freguesias de Ribafria e Pereiro de Palhacana,110121,1041
Ventosa,110113,1424
Vila Verde dos Francos,110114,718
Arruda dos Vinhos,1102,6712
Arranhó,110201,1326
Arruda dos Vinhos,110202,4275
Cardosas,110203,443
S. Tiago dos Velhos,110204,668
Bombarral,1005,8086
Carvalhal,100502,1768
Pó,100505,514
Roliça,100503,1699
União das freguesias do Bombarral e Vale Covo,100506,4105
Cadaval,1104,8837
Alguber,110401,569
Peral,110407,657
União das freguesias de Lamas e Cercal,110412,2351
União das freguesias de Painho e Figueiros,110413,1185
União das freguesias do Cadaval e Pêro Moniz,110411,2135
Vermelha,110409,863
Vilar,110410,1077
Caldas da Rainha,1006,31651
A dos Francos,100601,976
Alvorninha,100602,1639
Carvalhal Benfeito,100604,647
Foz do Arelho,100606,1760
Landal,100607,564
Nadadouro,100608,1352
Salir de Matos,100609,1458
Santa Catarina,100611,1451
"União das freguesias de Caldas da Rainha - Nossa Senhora do Pópulo, Coto e São Gregório",100617,11051
União das freguesias de Caldas da Rainha - Santo Onofre e Serra do Bouro,100618,6923
União das freguesias de Tornada e Salir do Porto,100619,3030
Vidais,100615,800
Lourinhã,1108,17800
Moita dos Ferreiros,110803,1110
Reguengo Grande,110805,1078
Ribamar,110810,1308
Santa Bárbara,110806,1083
União das freguesias de Lourinhã e Atalaia,110812,9009
União das freguesias de Miragaia e Marteleira,110813,2180
União das freguesias de São Bartolomeu dos Galegos e Moledo,110814,1076
Vimeiro,110808,956
Nazaré,1011,13739
Famalicão,101101,1266
Nazaré,101102,10893
Valado dos Frades,101103,1580
Óbidos,1012,9234
A dos Negros,101201,931
Amoreira,101202,1627
Gaeiras,101208,1191
Olho Marinho,101203,945
"Santa Maria, São Pedro e Sobral da Lagoa",101210,2534
Usseira,101209,527
Vau,101207,1479
Peniche,1014,21576
Atouguia da Baleia,101402,7511
Ferrel,101406,4103
Peniche,101407,9019
Serra d'El-Rei,101405,943
Sobral de Monte Agraço,1112,5475
Santo Quintino,111201,2094
Sapataria,111202,1585
Sobral de Monte Agraço,111203,1796
Torres Vedras,1113,46406
Freiria,111306,1279
Ponte do Rol,111310,1191
Ramalhal,111311,1767
"Santa Maria, São Pedro e Matacães",111326,13575
São Pedro da Cadeira,111314,2663
Silveira,111316,6963
Turcifal,111317,2025
União das freguesias de A dos Cunhados e Maceira,111321,7094
União das freguesias de Campelos e Outeiro da Cabeça,111322,1925
União das freguesias de Carvoeira e Carmões,111323,1576
União das freguesias de Dois Portos e Runa,111324,1906
União das freguesias de Maxial e Monte Redondo,111325,1902
Ventosa,111318,2540
Região de Aveiro,16D,197095
Águeda,0101,23147
Aguada de Cima,010103,1949
Fermentelos,010109,1499
Macinhata do Vouga,010112,1713
União das freguesias de Águeda e Borralha,010121,7023
União das freguesias de Barrô e Aguada de Baixo,010122,1508
"União das freguesias de Belazaima do Chão, Castanheira do Vouga e Agadão",010123,777
União das freguesias de Recardães e Espinhel,010124,2821
União das freguesias de Travassô e Óis da Ribeira,010125,1057
"União das freguesias de Trofa, Segadães e Lamas do Vouga",010126,2077
União das freguesias do Préstimo e Macieira de Alcoba,010127,535
Valongo do Vouga,010119,2188
Albergaria-a-Velha,0102,12542
Albergaria-a-Velha e Valmaior,010209,5478
Alquerubim,010202,1113
Angeja,010203,1061
Branca,010204,2567
Ribeira de Fráguas,010206,782
São João de Loure e Frossos,010210,1541
Anadia,0103,14999
Avelãs de Caminho,010304,598
Avelãs de Cima,010305,987
Moita,010307,1194
Sangalhos,010309,1975
São Lourenço do Bairro,010310,1279
"União das freguesias de Amoreira da Gândara, Paredes do Bairro e Ancas",010316,1384
União das freguesias de Arcos e Mogofores,010317,3236
"União das freguesias de Tamengos, Aguim e Óis do Bairro",010318,1927
Vila Nova de Monsarros,010312,859
Vilarinho do Bairro,010313,1560
Aveiro,0105,42352
Aradas,010501,5245
Cacia,010502,3243
Eixo e Eirol,010515,2933
Esgueira,010505,6548
Oliveirinha,010508,2163
"Requeixo, Nossa Senhora de Fátima e Nariz",010516,2136
Santa Joana,010513,3683
São Bernardo,010510,2361
São Jacinto,010511,648
União das freguesias de Glória e Vera Cruz,010517,13392
Estarreja,0108,13050
Avanca,010801,2595
Pardilhó,010805,2177
Salreu,010806,1897
União das freguesias de Beduído e Veiros,010808,4973
União das freguesias de Canelas e Fermelã,010809,1408
Ílhavo,0110,22616
Gafanha da Encarnação,011005,3506
Gafanha da Nazaré,011006,9806
Gafanha do Carmo,011007,894
Ílhavo (São Salvador),011008,8410
Murtosa,0112,7812
Bunheiro,011201,1387
Monte,011202,901
Murtosa,011203,2116
Torreira,011204,3408
Oliveira do Bairro,0114,11504
Oiã,011403,3675
Oliveira do Bairro,011404,3153
Palhaça,011405,1302
"União das freguesias de Bustos, Troviscal e Mamarrosa",011407,3374
Ovar,0115,28613
Cortegaça,011502,1864
Esmoriz,011503,6491
Maceda,011504,1529
"União das freguesias de Ovar, São João, Arada e São Vicente de Pereira Jusã",011509,15740
Válega,011507,2989
Sever do Vouga,0117,7113
