local,codigo,"População residente (N.º) nos alojamentos familiares clássicos por Local de residência à data dos Censos [2021] (NUTS - 2013), Época de construção (antes 1919; 2011-2021) e Tipo de entidade proprietária; Decenal"
Faiões,170313,746
Lama de Arcos,170314,291
Mairos,170316,242
Moreiras,170317,216
Nogueira da Montanha,170318,461
Oura,170320,505
Outeiro Seco,170321,842
Paradela,170322,216
Planalto de Monforte (União das freguesias de Oucidres e Bobadela),170353,220
Redondelo,170324,445
Sanfins,170327,200
Santa Leocádia,170329,253
Santa Maria Maior,170350,11191
Santo António de Monforte,170330,382
Santo Estêvão,170331,543
São Pedro de Agostém,170333,1322
São Vicente,170334,171
Tronco,170340,183
União das freguesias da Madalena e Samaiões,170354,2347
"União das freguesias das Eiras, São Julião de Montenegro e Cela",170355,850
União das freguesias de Calvão e Soutelinho da Raia,170356,400
União das freguesias de Loivos e Póvoa de Agrações,170357,579
União das freguesias de Santa Cruz/Trindade e Sanjurge,170358,3377
União das freguesias de Soutelo e Seara Velha,170359,461
União das freguesias de Travancas e Roriz,170360,424
Vale de Anta,170341,1469
"Vidago (União das freguesias de Vidago, Arcossó, Selhariz e Vilarinho das Paranheiras)",170361,1628
Vila Verde da Raia,170343,815
Vilar de Nantes,170344,1806
Vilarelho da Raia,170345,450
Vilas Boas,170347,164
Vilela do Tâmega,170349,353
Vilela Seca,170348,238
Montalegre,1706,8975
Cabril,170601,482
Cervos,170603,227
Chã,170604,662
Covelo do Gerês,170607,164
Ferral,170609,292
Gralhas,170612,186
Morgade,170616,195
Negrões,170618,132
Outeiro,170619,143
Pitões das Junias,170623,151
Reigoso,170625,130
Salto,170626,1232
Santo André,170627,149
Sarraquinhos,170629,263
Solveira,170631,150
Tourém,170632,106
"União das freguesias de Cambeses do Rio, Donões e Mourilhe",170636,273
União das freguesias de Meixedo e Padornelos,170637,265
União das freguesias de Montalegre e Padroso,170638,1662
"União das freguesias de Paradela, Contim e Fiães",170639,245
União das freguesias de Sezelhe e Covelães,170640,229
União das freguesias de Venda Nova e Pondras,170641,344
União das freguesias de Viade de Baixo e Fervidelas,170642,673
União das freguesias de Vilar de Perdizes e Meixide,170643,453
Vila da Ponte,170635,167
Ribeira de Pena,1709,5793
Alvadia,170901,165
Canedo,170902,275
Santa Marinha,170906,551
União das freguesias de Cerva e Limões,170908,2261
União das freguesias de Ribeira de Pena (Salvador) e Santo Aleixo de Além-Tâmega,170909,2541
Valpaços,1712,14185
Água Revés e Crasto,171201,275
Algeriz,171203,482
Bouçoães,171205,303
Canaveses,171206,170
Carrazedo de Montenegro e Curros,171232,1605
Ervões,171209,534
Fornos do Pinhal,171211,320
Friões,171212,429
"Lebução, Fiães e Nozelos",171233,520
Padrela e Tazem,171215,276
Possacos,171216,358
Rio Torto,171217,284
Santa Maria de Emeres,171219,301
Santa Valha,171220,312
Santiago da Ribeira de Alhariz,171221,479
São João da Corveira,171222,455
São Pedro de Veiga de Lila,171223,243
Serapicos,171224,196
Sonim e Barreiros,171234,314
Tinhela e Alvarelhos,171235,261
Vales,171227,191
Valpaços e Sanfins,171236,4390
Vassal,171229,356
Veiga de Lila,171230,233
Vilarandelo,171231,898
Vila Pouca de Aguiar,1713,11622
Alfarela de Jales,171302,357
Alvão,171319,774
Bornes de Aguiar,171303,1852
Bragado,171304,446
Capeludos,171305,363
Sabroso de Aguiar,171317,548
Soutelo de Aguiar,171310,593
Telões,171311,1305
Tresminas,171312,341
União das freguesias de Pensalvos e Parada de Monteiros,171320,288
Valoura,171313,295
Vila Pouca de Aguiar,171314,3041
Vreia de Bornes,171315,567
Vreia de Jales,171316,852
Tâmega e Sousa,11C,405017
Amarante,1301,51664
Ansiães,130103,516
Candemil,130107,586
Fregim,130112,2620
Fridão,130115,663
Gondar,130117,1506
Gouveia (São Simão),130134,575
Jazente,130118,517
Lomba,130119,820
Louredo,130120,630
Lufrei,130121,1594
Mancelos,130123,2829
Padronelo,130126,754
Rebordelo,130128,267
Salvador do Monte,130129,894
Telões,130135,3939
Travanca,130136,2012
"União das freguesias de Aboadela, Sanche e Várzea",130141,1446
"União das freguesias de Amarante (São Gonçalo), Madalena, Cepelos e Gatão",130142,11274
"União das freguesias de Bustelo, Carneiro e Carvalho de Rei",130143,827
União das freguesias de Figueiró (Santiago e Santa Cristina),130144,3634
União das freguesias de Freixo de Cima e de Baixo,130145,3438
União das freguesias de Olo e Canadelo,130146,434
"União das freguesias de Vila Garcia, Aboim e Chapa",130148,1663
Vila Caiz,130138,2848
Vila Chã do Marão,130139,824
Vila Meã,130147,4554
Baião,1302,17371
Frende,130204,580
Gestaçô,130205,1013
Gove,130206,1742
Grilo,130207,472
Loivos do Monte,130208,301
Santa Marinha do Zêzere,130215,2439
União das freguesias de Ancede e Ribadouro,130221,2334
União das freguesias de Baião (Santa Leocádia) e Mesquinhata,130222,731
União das freguesias de Campelo e Ovil,130223,3595
União das freguesias de Loivos da Ribeira e Tresouras,130224,700
União das freguesias de Santa Cruz do Douro e São Tomé de Covelas,130225,1612
União das freguesias de Teixeira e Teixeiró,130226,723
Valadares,130219,733
Viariz,130220,396
Castelo de Paiva,0106,15399
Fornos,010602,1277
Real,010606,1194
Santa Maria de Sardoura,010607,2247
São Martinho de Sardoura,010608,1849
"União das freguesias de Raiva, Pedorido e Paraíso",010610,4115
União das freguesias de Sobrado e Bairros,010611,4717
Celorico de Basto,0305,17319
Agilde,030501,1152
Arnóia,030502,1437
Basto (São Clemente),030520,1381
Borba de Montanha,030503,1066
Codeçoso,030508,339
Fervença,030510,1055
Moreira do Castelo,030515,584
Rego,030517,1031
Ribas,030518,836
"União das freguesias de Britelo, Gémeos e Ourilhe",030523,3400
União das freguesias de Caçarilhe e Infesta,030524,510
União das freguesias de Canedo de Basto e Corgo,030525,1101
União das freguesias de Carvalho e Basto (Santa Tecla),030526,942
"União das freguesias de Veade, Gagos e Molares",030527,1667
Vale de Bouro,030521,818
Cinfães,1804,17473
Cinfães,180403,3004
Espadanedo,180404,1141
Ferreiros de Tendais,180405,539
Fornelos,180406,589
Moimenta,180408,356
Nespereira,180409,1649
Oliveira do Douro,180410,1253
Santiago de Piães,180412,1607
São Cristóvão de Nogueira,180413,1598
Souselo,180414,2800
Tarouquela,180415,1041
Tendais,180416,667
Travanca,180417,712
"União das freguesias de Alhões, Bustelo, Gralheira e Ramires",180418,517
Felgueiras,1303,55524
Aião,130301,828
Airães,130302,2272
Friande,130305,1750
Idães,130306,2498
Jugueiros,130307,1220
Penacova,130313,1062
Pinheiro,130314,1053
Pombeiro de Ribavizela,130315,2073
Refontoura,130317,1897
Regilde,130318,1182
Revinhade,130319,799
Sendim,130324,1563
União das freguesias de Macieira da Lixa e Caramos,130334,3605
"União das freguesias de Margaride (Santa Eulália), Várzea, Lagares, Varziela e Moure",130335,17480
"União das freguesias de Pedreira, Rande e Sernande",130336,3277
União das freguesias de Torrados e Sousa,130337,3287
União das freguesias de Unhão e Lordelo,130338,1095
União das freguesias de Vila Cova da Lixa e Borba de Godim,130339,6061
União das freguesias de Vila Fria e Vizela (São Jorge),130340,1105
União das freguesias de Vila Verde e Santão,130341,1417
Lousada,1305,47199
Aveleda,130502,2127
Caíde de Rei,130504,2423
Lodares,130510,2053
Macieira,130512,1285
Meinedo,130513,3800
Nevogilde,130515,2451
Sousela,130524,1789
Torno,130525,2451
União das freguesias de Cernadelo e Lousada (São Miguel e Santa Margarida),130527,2135
"União das freguesias de Cristelos, Boim e Ordem",130528,7524
União das freguesias de Figueiras e Covas,130529,2137
União das freguesias de Lustosa e Barrosas (Santo Estêvão),130530,5815
União das freguesias de Nespereira e Casais,130531,3434
"União das freguesias de Silvares, Pias, Nogueira e Alvarenga",130532,6480
Vilar do Torno e Alentém,130526,1295
Marco de Canaveses,1307,49318
"Alpendorada, Várzea e Torrão",130732,8039
Avessadas e Rosém,130733,1368
Banho e Carvalhosa,130704,1074
Bem Viver,130734,3517
Constance,130705,1519
Marco,130736,10980
Paredes de Viadores e Manhuncelos,130737,1531
Penha Longa e Paços de Gaiolo,130738,2523
Sande e São Lourenço do Douro,130739,2445
Santo Isidoro e Livração,130735,1812
Soalhães,130722,3322
Sobretâmega,130723,1084
Tabuado,130724,1335
"Várzea, Aliviada e Folhada",130740,2346
Vila Boa de Quires e Maureles,130741,3459
Vila Boa do Bispo,130730,2964
Paços de Ferreira,1309,54628
Carvalhosa,130902,4499
Eiriz,130904,2181
Ferreira,130905,4240
Figueiró,130906,2477
Frazão Arreigada,130917,5826
Freamunde,130908,7499
Meixomil,130910,3747
Paços de Ferreira,130918,9578
Penamaior,130913,3578
Raimonda,130914,2490
Sanfins Lamoso Codessos,130919,5543
Seroa,130916,2970
Penafiel,1311,69256
Abragão,131101,2311
Boelhe,131102,1532
Bustelo,131103,1682
Cabeça Santa,131104,2354
Canelas,131105,1523
Capela,131106,964
Castelões,131107,1364
Croca,131108,1792
Duas Igrejas,131109,2255
Eja,131110,863
Fonte Arcada,131112,1459
Galegos,131113,2574
Guilhufe e Urrô,131141,3845
Irivo,131115,2075
Lagares e Figueira,131142,2726
Luzim e Vila Cova,131140,1537
Oldrões,131121,1939
Paço de Sousa,131122,3786
Penafiel,131139,15534
Perozelo,131125,1314
Rans,131128,1804
Recezinhos (São Mamede),131132,1364
Recezinhos (São Martinho),131133,1694
Rio de Moinhos,131129,2536
Rio Mau,131138,1340
Sebolido,131134,823
Termas de São Vicente,131143,4758
Valpedre,131136,1508
Resende,1813,9866
Barrô,181302,595
Cárquere,181303,746
Paus,181310,421
Resende,181311,2952
São Cipriano,181312,670
São João de Fontoura,181313,537
São Martinho de Mouros,181314,1300
União das freguesias de Anreade e São Romão de Aregos,181316,1334
União das freguesias de Felgueiras e Feirão,181317,350
União das freguesias de Freigil e Miomães,181318,678
União das freguesias de Ovadas e Panchorra,181319,283
Douro,11D,179746
Alijó,1701,10281
Alijó,170101,2482
Favaios,170107,937
Pegarinhos,170108,394
Pinhão,170109,622
Sanfins do Douro,170112,1239
Santa Eugénia,170113,278
São Mamede de Ribatua,170114,586
União das freguesias de Carlão e Amieiro,170120,615
União das freguesias de Castedo e Cotas,170121,536
União das freguesias de Pópulo e Ribalonga,170122,409
"União das freguesias de Vale de Mendiz, Casal de Loivos e Vilarinho de Cotas",170123,443
Vila Chã,170116,432
Vila Verde,170117,547
Vilar de Maçada,170118,761
Armamar,1801,5455
Aldeias,180101,307
Armamar,180120,1447
Cimbres,180104,270
Folgosa,180106,334
Fontelo,180107,583
Queimada,180109,242
Queimadela,180110,208
Santa Cruz,180111,173
São Cosmado,180114,453
São Martinho das Chãs,180115,478
União das freguesias de Aricera e Goujoim,180121,185
União das freguesias de São Romão e Santiago,180122,224
União das freguesias de Vila Seca e Santo Adrião,180123,379
Vacalar,180118,172
Carrazeda de Ansiães,0403,5278
Carrazeda de Ansiães,040304,1654
Fonte Longa,040306,232
Linhares,040308,348
Marzagão,040309,293
Parambos,040311,182
Pereiros,040312,151
Pinhal do Norte,040313,214
Pombal,040314,209
Seixo de Ansiães,040316,241
União das freguesias de Amedo e Zedes,040320,328
União das freguesias de Belver e Mogo de Malta,040321,340
União das freguesias de Castanheiro do Norte e Ribalonga,040322,403
"União das freguesias de Lavandeira, Beira Grande e Selores",040323,337
Vilarinho da Castanheira,040318,346
Freixo de Espada à Cinta,0404,3013
Ligares,040404,303
Poiares,040406,312
União das freguesias de Freixo de Espada à Cinta e Mazouco,040407,1970
União das freguesias de Lagoaça e Fornos,040408,428
Lamego,1805,23755
Avões,180502,497
Britiande,180504,785
Cambres,180505,1591
Ferreirim,180507,833
Ferreiros de Avões,180508,426
Figueira,180509,279
Lalim,180510,659
Lamego (Almacave e Sé),180525,11722
Lazarim,180511,407
Penajóia,180516,804
Penude,180517,1355
Samodães,180519,172
Sande,180520,811
"União das freguesias de Bigorne, Magueija e Pretarouca",180526,575
"União das freguesias de Cepões, Meijinhos e Melcões",180527,970
União das freguesias de Parada do Bispo e Valdigem,180528,891
Várzea de Abrunhais,180523,329
Vila Nova de Souto d'El-Rei,180524,649
Mesão Frio,1704,3439
Barqueiros,170401,525
Cidadelhe,170402,131
Mesão Frio (Santo André),170408,1536
Oliveira,170403,332
Vila Marim,170407,915
Moimenta da Beira,1807,9141
Alvite,180702,982
Arcozelos,180703,604
Baldos,180705,151
Cabaços,180706,220
Caria,180707,406
Castelo,180708,196
Leomil,180709,1083
Moimenta da Beira,180710,2748
Passô,180713,287
Sarzedo,180717,154
Sever,180719,465
União das freguesias de Paradinha e Nagosa,180721,229
"União das freguesias de Pêra Velha, Aldeia de Nacomba e Ariz",180722,389
União das freguesias de Peva e Segões,180723,401
Vila da Rua,180716,510
Vilar,180720,316
Murça,1707,5136
Candedo,170701,808
Fiolhoso,170703,379
Jou,170704,535
Murça,170705,1906
União das freguesias de Carva e Vilares,170710,432
União das freguesias de Noura e Palheiros,170711,811
Valongo de Milhais,170708,265
Penedono,1812,2621
Beselga,181202,238
Castainço,181203,128
Penela da Beira,181207,287
Póvoa de Penela,181208,337
Souto,181209,288
União das freguesias de Antas e Ourozinho,181210,285
União das freguesias de Penedono e Granja,181211,1058
Peso da Régua,1708,14375
Fontelas,170802,630
Loureiro,170805,892
Sedielos,170809,695
União das freguesias de Galafura e Covelinhas,170813,705
União das freguesias de Moura Morta e Vinhós,170814,750
União das freguesias de Peso da Régua e Godim,170815,8778
União das freguesias de Poiares e Canelas,170816,1192
Vilarinho dos Freires,170810,733
Sabrosa,1710,5471
Celeirós,171001,201
Covas do Douro,171002,363
Gouvinhas,171004,220
Paços,171007,676
Parada de Pinhão,171005,257
Sabrosa,171009,1073
São Lourenço de Ribapinhão,171011,318
Souto Maior,171013,439
Torre do Pinhão,171014,296
"União das freguesias de Provesende, Gouvães do Douro e São Cristóvão do Douro",171016,463
União das freguesias de São Martinho de Antas e Paradela de Guiães,171017,929
Vilarinho de São Romão,171015,236
Santa Marta de Penaguião,1711,5996
Alvações do Corgo,171101,405
Cumieira,171102,988
Fontes,171103,659
Medrões,171106,428
Sever,171110,578
União das freguesias de Lobrigos (São Miguel e São João Baptista) e Sanhoane,171111,2420
União das freguesias de Louredo e Fornelos,171112,518
São João da Pesqueira,1815,6605
Castanheiro do Sul,181501,361
Ervedosa do Douro,181502,1012
Nagozelo do Douro,181504,340
Paredes da Beira,181505,495
Riodades,181507,376
Soutelo do Douro,181509,372
União das freguesias de São João da Pesqueira e Várzea de Trevões,181515,2204
União das freguesias de Trevões e Espinhosa,181516,515
União das freguesias de Vilarouco e Pereiros,181517,354
Vale de Figueira,181511,356
Valongo dos Azeites,181512,220
Sernancelhe,1818,5459
Arnas,181801,187
Carregal,181802,374
Chosendo,181803,267
Cunha,181804,323
Faia,181806,160
Granjal,181810,282
Lamosa,181811,148
Quintela,181814,227
União das freguesias de Ferreirim e Macieira,181818,568
União das freguesias de Fonte Arcada e Escurquela,181819,415
União das freguesias de Penso e Freixinho,181820,360
União das freguesias de Sernancelhe e Sarzeda,181821,1680
Vila da Ponte,181817,468
Tabuaço,1819,4863
Adorigo,181901,301
Arcos,181902,163
Chavães,181904,299
Desejosa,181905,117
Granja do Tedo,181906,156
Longa,181908,209
Sendim,181913,617
Tabuaço,181914,1467
União das freguesias de Barcos e Santa Leocádia,181918,582
União das freguesias de Paradela e Granjinha,181919,99
União das freguesias de Pinheiros e Vale de Figueira,181920,239
União das freguesias de Távora e Pereiro,181921,362
Valença do Douro,181917,252
Tarouca,1820,7285
Mondim da Beira,182004,585
Salzedas,182005,651
São João de Tarouca,182006,460
União das freguesias de Gouviães e Ucanha,182011,698
União das freguesias de Granja Nova e Vila Chã da Beira,182012,429
União das freguesias de Tarouca e Dálvares,182013,4265
Várzea da Serra,182009,197
Torre de Moncorvo,0409,6560
Açoreira,040901,340
Cabeça Boa,040903,284
Carviçais,040905,489
Castedo,040906,180
Horta da Vilariça,040909,208
Larinho,040910,306
Lousa,040911,266
Mós,040913,174
Torre de Moncorvo,040916,2484
União das freguesias de Adeganha e Cardanha,040918,437
União das freguesias de Felgar e Souto da Velha,040919,844
União das freguesias de Felgueiras e Maçores,040920,307
União das freguesias de Urros e Peredo dos Castelhanos,040921,241
Vila Nova de Foz Côa,0914,6107
Almendra,091401,289
Castelo Melhor,091402,168
Cedovim,091403,266
Chãs,091404,199
Custóias,091405,191
Freixo de Numão,091418,503
Horta,091407,161
Muxagata,091410,267
Numão,091411,210
Santa Comba,091412,129
Sebadelhe,091414,195
Seixas,091415,312
Touça,091416,188
Vila Nova de Foz Côa,091419,3029
Vila Real,1714,48906
Abaças,171401,836
Andrães,171403,1368
Arroios,171404,1059
Campeã,171406,1186
Folhadela,171409,2145
Guiães,171410,384
Lordelo,171414,3089
Mateus,171415,3410
Mondrões,171416,928
Parada de Cunhos,171420,1724
Torgueda,171426,1234
União das freguesias de Adoufe e Vilarinho de Samardã,171431,2658
União das freguesias de Borbela e Lamas de Olo,171432,2890
União das freguesias de Constantim e Vale de Nogueiras,171433,1730
União das freguesias de Mouçós e Lamares,171434,3173
União das freguesias de Nogueira e Ermida,171435,759
"União das freguesias de Pena, Quintã e Vila Cova",171436,713
União das freguesias de São Tomé do Castelo e Justes,171437,1029
Vila Marim,171429,1517
Vila Real,171438,17074
Terras de Trás-os-Montes,11E,103648
Alfândega da Fé,0401,4158
Alfândega da Fé,040102,1887
Cerejais,040103,120
Sambade,040111,346
"União das freguesias de Agrobom, Saldonha e Vale Pereiro",040121,211
"União das freguesias de Eucisia, Gouveia e Valverde",040122,262
União das freguesias de Ferradosa e Sendim da Serra,040123,169
União das freguesias de Gebelim e Soeima,040124,286
União das freguesias de Parada e Sendim da Ribeira,040125,194
União das freguesias de Pombal e Vales,040126,147
Vilar Chão,040118,197
Vilarelhos,040119,207
Vilares de Vilariça,040120,132
Bragança,0402,33286
Alfaião,040201,164
Babe,040203,209
Baçal,040204,440
Carragosa,040206,162
Castro de Avelãs,040209,430
Coelhoso,040210,230
Donai,040212,407
Espinhosela,040213,222
França,040215,186
Gimonde,040216,358
Gondesende,040217,139
Gostei,040218,397
Grijó de Parada,040219,247
Macedo do Mato,040221,178
Mós,040224,175
Nogueira,040225,453
Outeiro,040226,182
Parâmio,040229,195
Pinela,040230,219
Quintanilha,040232,197
Quintela de Lampaças,040233,184
Rabal,040234,152
Rebordãos,040236,508
Salsas,040239,243
Samil,040240,1291
Santa Comba de Rossas,040241,245
São Pedro de Sarracenos,040244,349
Sendas,040246,150
Serapicos,040247,187
Sortes,040248,244
União das freguesias de Aveleda e Rio de Onor,040250,227
União das freguesias de Castrelos e Carrazedo,040251,214
"União das freguesias de Izeda, Calvelhe e Paradinha Nova",040252,682
União das freguesias de Parada e Faílde,040253,514
União das freguesias de Rebordainhos e Pombares,040254,148
União das freguesias de Rio Frio e Milhão,040255,287
União das freguesias de São Julião de Palácios e Deilão,040256,319
"União das freguesias de Sé, Santa Maria e Meixedo",040257,22011
Zoio,040249,141
Macedo de Cavaleiros,0405,13867
Amendoeira,040502,400
Arcas,040503,215
Carrapatas,040507,153
Chacim,040509,214
Cortiços,040510,237
Corujas,040511,143
Ferreira,040514,192
Grijó,040515,333
Lagoa,040516,271
Lamalonga,040517,338
Lamas,040518,238
Lombo,040519,254
Macedo de Cavaleiros,040520,6033
Morais,040521,530
Olmos,040523,149
Peredo,040524,191
Salselas,040526,284
Sezulfe,040528,236
Talhas,040530,256
União das freguesias de Ala e Vilarinho do Monte,040539,412
União das freguesias de Bornes e Burga,040540,342
União das freguesias de Castelãos e Vilar do Monte,040541,365
"União das freguesias de Espadanedo, Edroso, Murçós e Soutelo Mourisco",040542,383
União das freguesias de Podence e Santa Combinha,040543,254
União das freguesias de Talhinhas e Bagueixe,040544,262
Vale Benfeito,040532,159
Vale da Porca,040533,239
Vale de Prados,040534,408
Vilarinho de Agrochão,040536,216
Vinhas,040538,160
Miranda do Douro,0406,6192
Duas Igrejas,040604,527
Genísio,040605,152
Malhadas,040607,247
Miranda do Douro,040608,1995
Palaçoulo,040609,522
Picote,040611,192
Póvoa,040612,164
São Martinho de Angueira,040613,213
União das freguesias de Constantim e Cicouro,040618,153
União das freguesias de Ifanes e Paradela,040619,232
União das freguesias de Sendim e Atenor,040620,1206
União das freguesias de Silva e Águas Vivas,040621,330
Vila Chã de Braciosa,040616,259
Mirandela,0407,20769
Abambres,040701,338
Abreiro,040702,200
Aguieiras,040703,246
Alvites,040704,171
Bouça,040708,179
Cabanelas,040709,344
Caravelas,040710,152
Carvalhais,040711,1148
Cedães,040712,270
Cobro,040713,154
Fradizela,040714,185
Frechas,040716,720
Lamas de Orelhão,040718,320
Mascarenhas,040720,422
Mirandela,040721,11124
Múrias,040722,236
Passos,040724,333
São Pedro Velho,040727,263
São Salvador,040728,200
Suçães,040729,469
Torre de Dona Chama,040730,882
União das freguesias de Avantos e Romeu,040738,272
"União das freguesias de Avidagos, Navalho e Pereira",040739,399
"União das freguesias de Barcel, Marmelos e Valverde da Gestosa",040740,320
União das freguesias de Franco e Vila Boa,040741,256
União das freguesias de Freixeda e Vila Verde,040742,137
Vale de Asnes,040731,210
Vale de Gouvinhas,040732,234
Vale de Salgueiro,040733,322
Vale de Telhas,040734,263
Mogadouro,0408,8073
Azinhoso,040801,241
Bemposta,040802,468
Bruçó,040803,154
Brunhoso,040804,210
Castelo Branco,040807,330
Castro Vicente,040808,264
Meirinhos,040809,243
Paradela,040811,127
Penas Roias,040812,277
Peredo da Bemposta,040813,185
Saldanha,040815,133
São Martinho do Peso,040817,254
Tó,040819,136
Travanca,040820,119
"União das freguesias de Brunhozinho, Castanheira e Sanhoane",040829,216
"União das freguesias de Mogadouro, Valverde, Vale de Porco e Vilar de Rei",040830,3458
União das freguesias de Remondes e Soutelo,040831,285
União das freguesias de Vilarinho dos Galegos e Ventozelo,040832,340
Urrós,040821,237
Vale da Madre,040822,165
Vila de Ala,040826,231
Vila Flor,0410,5874
Benlhevai,041002,235
Freixiel,041005,505
Roios,041009,148
Samões,041010,338
Sampaio,041011,137
Santa Comba de Vilariça,041012,343
Seixo de Manhoses,041013,387
Trindade,041014,116
União das freguesias de Assares e Lodões,041020,214
União das freguesias de Candoso e Carvalho de Egas,041021,222
União das freguesias de Valtorno e Mourão,041022,319
União das freguesias de Vila Flor e Nabo,041023,2231
União das freguesias de Vilas Boas e Vilarinho das Azenhas,041024,525
Vale Frechoso,041015,154
Vimioso,0411,3914
Argozelo,041103,531
Carção,041107,358
Matela,041108,211
Pinelo,041109,200
Santulhão,041110,303
"União das freguesias de Algoso, Campo de Víboras e Uva",041115,456
União das freguesias de Caçarelhos e Angueira,041116,296
União das freguesias de Vale de Frades e Avelanoso,041117,272
Vilar Seco,041113,116
Vimioso,041114,1171
Vinhais,0412,7515
Agrochão,041201,193
Candedo,041203,264
Celas,041204,189
Edral,041206,168
Edrosa,041207,139
Ervedosa,041208,302
Paçó,041215,154
Penhas Juntas,041216,260
Rebordelo,041219,548
Santalha,041221,188
Tuizelo,041226,296
União das freguesias de Curopos e Vale de Janeiro,041236,245
União das freguesias de Moimenta e Montouto,041237,204
União das freguesias de Nunes e Ousilhão,041238,197
União das freguesias de Quirás e Pinheiro Novo,041239,203
União das freguesias de Sobreiro de Baixo e Alvaredos,041240,275
"União das freguesias de Soeira, Fresulfe e Mofreita",041241,157
União das freguesias de Travanca e Santa Cruz,041242,146
União das freguesias de Vilar de Lomba e São Jomil,041243,207
Vale das Fontes,041227,262
Vila Boa de Ousilhão,041229,123
Vila Verde,041230,151
Vilar de Ossos,041232,222
Vilar de Peregrinos,041233,134
Vilar Seco de Lomba,041234,186
Vinhais,041235,2102
Centro,16,2177155
Oeste,16B,356988
Alcobaça,1001,53889
Alfeizerão,100102,3565
Aljubarrota,100120,6103
Bárrio,100104,1411
Benedita,100105,8370
Cela,100106,3003
Évora de Alcobaça,100108,4010
Maiorga,100109,1843
São Martinho do Porto,100112,3050
Turquel,100114,4339
União das freguesias de Alcobaça e Vestiaria,100121,7019
"União das freguesias de Coz, Alpedriz e Montes",100122,2826
União das freguesias de Pataias e Martingança,100123,6631
Vimeiro,100116,1719
Alenquer,1101,43711
Carnota,110106,1522
Meca,110107,1591
Olhalvo,110108,1729
Ota,110109,1104
União das freguesias de Abrigada e Cabanas de Torres,110117,4085
União das freguesias de Aldeia Galega da Merceana e Aldeia Gavinha,110118,2826
União das freguesias de Alenquer (Santo Estêvão e Triana),110119,11905
União das freguesias de Carregado e Cadafais,110120,14485
União das freguesias de Ribafria e Pereiro de Palhacana,110121,1481
Ventosa,110113,1936
Vila Verde dos Francos,110114,1047
Arruda dos Vinhos,1102,13775
Arranhó,110201,2584
Arruda dos Vinhos,110202,9120
Cardosas,110203,782
S. Tiago dos Velhos,110204,1289
Bombarral,1005,12531
Carvalhal,100502,2388
Pó,100505,917
Roliça,100503,2451
União das freguesias do Bombarral e Vale Covo,100506,6775
Cadaval,1104,12975
Alguber,110401,798
Peral,110407,886
União das freguesias de Lamas e Cercal,110412,3244
União das freguesias de Painho e Figueiros,110413,1730
União das freguesias do Cadaval e Pêro Moniz,110411,3581
Vermelha,110409,1232
Vilar,110410,1504
Caldas da Rainha,1006,49863
A dos Francos,100601,1566
Alvorninha,100602,2593
Carvalhal Benfeito,100604,1141
Foz do Arelho,100606,1347
Landal,100607,927
Nadadouro,100608,1918
Salir de Matos,100609,2528
Santa Catarina,100611,2647
"União das freguesias de Caldas da Rainha - Nossa Senhora do Pópulo, Coto e São Gregório",100617,17943
União das freguesias de Caldas da Rainha - Santo Onofre e Serra do Bouro,100618,11848
União das freguesias de Tornada e Salir do Porto,100619,4381
Vidais,100615,1024
Lourinhã,1108,25817
Moita dos Ferreiros,110803,1639
Reguengo Grande,110805,1460
Ribamar,110810,2157
Santa Bárbara,110806,1968
União das freguesias de Lourinhã e Atalaia,110812,12192
União das freguesias de Miragaia e Marteleira,110813,3451
União das freguesias de São Bartolomeu dos Galegos e Moledo,110814,1488
Vimeiro,110808,1462
Nazaré,1011,14703
Famalicão,101101,1647
Nazaré,101102,10233
Valado dos Frades,101103,2823
Óbidos,1012,11756
A dos Negros,101201,1425
Amoreira,101202,1025
Gaeiras,101208,2343
Olho Marinho,101203,1329
"Santa Maria, São Pedro e Sobral da Lagoa",101210,3751
Usseira,101209,947
Vau,101207,936
Peniche,1014,26048
Atouguia da Baleia,101402,8997
Ferrel,101406,2730
Peniche,101407,13001
Serra d'El-Rei,101405,1320
Sobral de Monte Agraço,1112,10289
Santo Quintino,111201,3710
Sapataria,111202,3196
Sobral de Monte Agraço,111203,3383
Torres Vedras,1113,81631
Freiria,111306,2380
Ponte do Rol,111310,2472
Ramalhal,111311,3546
"Santa Maria, São Pedro e Matacães",111326,27262
São Pedro da Cadeira,111314,5185
Silveira,111316,9285
Turcifal,111317,3555
União das freguesias de A dos Cunhados e Maceira,111321,11291
União das freguesias de Campelos e Outeiro da Cabeça,111322,3714
União das freguesias de Carvoeira e Carmões,111323,2166
União das freguesias de Dois Portos e Runa,111324,2678
União das freguesias de Maxial e Monte Redondo,111325,3149
Ventosa,111318,4948
Região de Aveiro,16D,361953
Águeda,0101,45447
Aguada de Cima,010103,3850
Fermentelos,010109,2994
Macinhata do Vouga,010112,3186
União das freguesias de Águeda e Borralha,010121,13519
União das freguesias de Barrô e Aguada de Baixo,010122,2989
"União das freguesias de Belazaima do Chão, Castanheira do Vouga e Agadão",010123,1380
União das freguesias de Recardães e Espinhel,010124,5663
União das freguesias de Travassô e Óis da Ribeira,010125,2158
"União das freguesias de Trofa, Segadães e Lamas do Vouga",010126,4431
União das freguesias do Préstimo e Macieira de Alcoba,010127,679
Valongo do Vouga,010119,4598
Albergaria-a-Velha,0102,24535
Albergaria-a-Velha e Valmaior,010209,10927
Alquerubim,010202,2213
