local,codigo,"População residente (N.º) nos alojamentos familiares clássicos por Local de residência à data dos Censos [2021] (NUTS - 2013), Época de construção (antes 1919; 2011-2021) e Tipo de entidade proprietária; Decenal"
União das freguesias de Cardielos e Serreleis,160942,2131
"União das freguesias de Geraz do Lima (Santa Maria, Santa Leocádia e Moreira) e Deão",160943,3014
União das freguesias de Mazarefes e Vila Fria,160944,2493
"União das freguesias de Nogueira, Meixedo e Vilar de Murteda",160945,1433
"União das freguesias de Subportela, Deocriste e Portela Susã",160946,2237
União das freguesias de Torre e Vila Mou,160947,1090
União das freguesias de Viana do Castelo (Santa Maria Maior e Monserrate) e Meadela,160948,24747
Vila de Punhe,160938,2063
Vila Franca,160935,1658
Vila Nova de Cerveira,1610,8812
Cornes,161003,489
Covas,161004,601
Gondarém,161006,909
Loivo,161007,834
Mentrestido,161009,273
Sapardos,161012,330
Sopo,161013,494
União das freguesias de Campos e Vila Meã,161016,1749
União das freguesias de Candemil e Gondar,161017,313
União das freguesias de Reboreda e Nogueira,161018,1105
União das freguesias de Vila Nova de Cerveira e Lovelhe,161019,1715
Cávado,112,411228
Amares,0301,18413
Barreiros,030102,737
Bico,030104,816
Bouro (Santa Maria),030119,642
Bouro (Santa Marta),030120,427
Caires,030105,878
Carrazedo,030107,723
Dornelas,030108,454
Fiscal,030111,712
Goães,030112,490
Lago,030113,1824
Rendufe,030118,1080
União das freguesias de Amares e Figueiredo,030125,2767
"União das freguesias de Caldelas, Sequeiros e Paranhos",030126,1068
"União das freguesias de Ferreiros, Prozelo e Besteiros",030127,4678
União das freguesias de Torre e Portela,030128,563
"União das freguesias de Vilela, Seramil e Paredes Secas",030129,554
Barcelos,0302,115279
Abade de Neiva,030201,2009
Aborim,030202,827
Adães,030203,739
Airó,030205,870
Aldreu,030206,795
Alvelos,030208,2010
Arcozelo,030209,12690
Areias,030210,1012
Balugães,030212,787
Barcelinhos,030213,1865
Barqueiros,030215,1889
Cambeses,030216,1236
Carapeços,030218,2168
Carvalhal,030220,1233
Carvalhas,030221,692
Cossourado,030224,758
Cristelo,030228,1649
Fornelos,030234,797
Fragoso,030235,2069
Galegos (Santa Maria),030268,2843
Galegos (São Martinho),030272,1842
Gilmonde,030237,1497
Lama,030242,1164
Lijó,030243,2425
Macieira de Rates,030244,1871
Manhente,030245,1705
Martim,030247,2051
Moure,030252,921
Oliveira,030254,986
Palme,030255,1044
Panque,030256,631
Paradela,030257,789
Pereira,030259,1239
Perelhal,030260,1700
Pousa,030261,2194
Remelhe,030263,1240
Rio Covo (Santa Eugénia),030265,1555
Roriz,030264,1988
Silva,030279,878
Tamel (São Veríssimo),030277,2840
Ucha,030282,1416
União das freguesias de Alheira e Igreja Nova,030290,1318
União das freguesias de Alvito (São Pedro e São Martinho) e Couto,030291,1411
