local,codigo,Densidade de alojamentos
Alvarães,160902,148.1
Amonde,160903,24.3
Anha,160904,130.6
Areosa,160905,181.5
Carreço,160908,71.5
Castelo do Neiva,160910,261.4
Chafé,160940,501.7
Darque,160911,533.7
Freixieiro de Soutelo,160914,26.0
Lanheses,160915,81.1
Montaria,160920,14.4
Mujães,160922,168.0
Outeiro,160925,28.0
Perre,160926,89.0
Santa Marta de Portuzelo,160928,242.6
São Romão de Neiva,160923,85.5
União das freguesias de Barroselas e Carvoeiro,160941,131.5
União das freguesias de Cardielos e Serreleis,160942,127.2
"União das freguesias de Geraz do Lima (Santa Maria, Santa Leocádia e Moreira) e Deão",160943,85.9
União das freguesias de Mazarefes e Vila Fria,160944,118.6
"União das freguesias de Nogueira, Meixedo e Vilar de Murteda",160945,25.3
"União das freguesias de Subportela, Deocriste e Portela Susã",160946,67.9
União das freguesias de Torre e Vila Mou,160947,91.8
União das freguesias de Viana do Castelo (Santa Maria Maior e Monserrate) e Meadela,160948,979.4
Vila de Punhe,160938,204.5
Vila Franca,160935,113.7
Vila Nova de Cerveira,1610,57.4
Cornes,161003,47.7
Covas,161004,22.6
Gondarém,161006,102.0
Loivo,161007,105.4
Mentrestido,161009,47.9
Sapardos,161012,38.8
Sopo,161013,28.7
União das freguesias de Campos e Vila Meã,161016,105.0
União das freguesias de Candemil e Gondar,161017,23.4
União das freguesias de Reboreda e Nogueira,161018,73.6
União das freguesias de Vila Nova de Cerveira e Lovelhe,161019,187.1
Cávado,112,160.7
Amares,0301,123.6
Barreiros,030102,120.7
Bico,030104,171.2
Bouro (Santa Maria),030119,70.5
Bouro (Santa Marta),030120,31.4
Caires,030105,101.5
Carrazedo,030107,142.8
Dornelas,030108,77.9
Fiscal,030111,104.4
Goães,030112,100.0
Lago,030113,220.6
Rendufe,030118,170.3
União das freguesias de Amares e Figueiredo,030125,321.3
"União das freguesias de Caldelas, Sequeiros e Paranhos",030126,62.1
"União das freguesias de Ferreiros, Prozelo e Besteiros",030127,348.4
União das freguesias de Torre e Portela,030128,86.4
"União das freguesias de Vilela, Seramil e Paredes Secas",030129,36.5
Barcelos,0302,131.7
Abade de Neiva,030201,108.1
Aborim,030202,62.6
Adães,030203,118.6
Airó,030205,114.2
Aldreu,030206,80.8
Alvelos,030208,237.6
Arcozelo,030209,1680.8
Areias,030210,170.5
Balugães,030212,137.7
Barcelinhos,030213,334.8
Barqueiros,030215,111.3
Cambeses,030216,166.2
Carapeços,030218,98.8
Carvalhal,030220,205.8
Carvalhas,030221,84.5
Cossourado,030224,62.6
Cristelo,030228,92.0
Fornelos,030234,73.4
Fragoso,030235,72.7
Galegos (Santa Maria),030268,252.1
Galegos (São Martinho),030272,253.8
Gilmonde,030237,111.5
Lama,030242,145.0
Lijó,030243,221.3
Macieira de Rates,030244,98.0
Manhente,030245,171.1
Martim,030247,164.8
Moure,030252,157.1
Oliveira,030254,77.1
Palme,030255,51.6
Panque,030256,48.6
Paradela,030257,36.6
Pereira,030259,119.0
Perelhal,030260,109.1
Pousa,030261,120.4
Remelhe,030263,84.5
Rio Covo (Santa Eugénia),030265,215.3
Roriz,030264,117.2
Silva,030279,161.5
Tamel (São Veríssimo),030277,374.5
Ucha,030282,134.7
União das freguesias de Alheira e Igreja Nova,030290,72.3
União das freguesias de Alvito (São Pedro e São Martinho) e Couto,030291,59.7
União das freguesias de Areias de Vilar e Encourados,030292,64.0
"União das freguesias de Barcelos, Vila Boa e Vila Frescainha (São Martinho e São Pedro)",030293,550.6
União das freguesias de Campo e Tamel (São Pedro Fins),030294,130.4
União das freguesias de Carreira e Fonte Coberta,030295,158.8
"União das freguesias de Chorente, Góios, Courel, Pedra Furada e Gueral",030296,64.7
União das freguesias de Creixomil e Mariz,030297,66.9
União das freguesias de Durrães e Tregosa,030298,102.1
União das freguesias de Gamil e Midões,030299,99.5
"União das freguesias de Milhazes, Vilar de Figos e Faria",0302FA,69.3
União das freguesias de Negreiros e Chavão,0302FB,130.7
União das freguesias de Quintiães e Aguiar,0302FC,63.9
União das freguesias de Sequeade e Bastuço (São João e Santo Estevão),0302FD,122.9
União das freguesias de Silveiros e Rio Covo (Santa Eulália),0302FE,106.0
União das freguesias de Tamel (Santa Leocádia) e Vilar do Monte,0302FF,47.2
"União das freguesias de Viatodos, Grimancelos, Minhotães e Monte de Fralães",0302FG,127.5
União das freguesias de Vila Cova e Feitos,0302FH,67.7
Várzea,030283,283.1
Vila Seca,030287,104.4
Braga,0303,483.8
Adaúfe,030301,143.8
Braga (São Vicente),030349,2663.1
Braga (São Vítor),030351,4165.0
Espinho,030312,90.4
Esporões,030313,146.2
Figueiredo,030315,220.7
Gualtar,030319,1267.2
Lamas,030322,255.2
Mire de Tibães,030325,211.2
Padim da Graça,030330,179.4
Palmeira,030331,269.4
Pedralva,030334,67.7
Priscos,030336,157.8
Ruilhe,030338,224.1
Sequeira,030354,174.5
Sobreposta,030355,84.1
Tadim,030356,190.3
Tebosa,030357,179.5
União das freguesias de Arentim e Cunha,030363,106.5
"União das freguesias de Braga (Maximinos, Sé e Cividade)",030364,2962.3
União das freguesias de Braga (São José de São Lázaro e São João do Souto),030365,3082.7
União das freguesias de Cabreiros e Passos (São Julião),030366,173.3
"União das freguesias de Celeirós, Aveleda e Vimieiro",030367,370.4
União das freguesias de Crespos e Pousada,030368,82.3
União das freguesias de Escudeiros e Penso (Santo Estêvão e São Vicente),030369,95.1
União das freguesias de Este (São Pedro e São Mamede),030370,175.7
União das freguesias de Ferreiros e Gondizalves,030371,996.5
União das freguesias de Guisande e Oliveira (São Pedro),030372,84.5
União das freguesias de Lomar e Arcos,030373,773.3
"União das freguesias de Merelim (São Paio), Panoias e Parada de Tibães",030374,413.8
União das freguesias de Merelim (São Pedro) e Frossos,030375,487.6
União das freguesias de Morreira e Trandeiras,030376,125.8
"União das freguesias de Nogueira, Fraião e Lamaçães",030377,751.5
União das freguesias de Nogueiró e Tenões,030378,571.8
"União das freguesias de Real, Dume e Semelhe",030379,688.2
União das freguesias de Santa Lucrécia de Algeriz e Navarra,030380,70.7
União das freguesias de Vilaça e Fradelos,030381,241.4
Esposende,0306,231.2
Antas,030601,137.9
Forjães,030608,151.1
Gemeses,030610,119.4
União das freguesias de Apúlia e Fão,030616,375.7
União das freguesias de Belinho e Mar,030617,175.9
"União das freguesias de Esposende, Marinhas e Gandra",030618,482.8
União das freguesias de Fonte Boa e Rio Tinto,030619,70.6
União das freguesias de Palmeira de Faro e Curvos,030620,135.9
Vila Chã,030615,71.5
Terras de Bouro,0310,17.6
Balança,031001,55.9
Campo do Gerês,031003,2.3
Carvalheira,031004,28.1
Covide,031008,13.2
Gondoriz,031009,37.6
Moimenta,031010,144.2
Ribeira,031012,62.2
Rio Caldo,031013,42.3
Souto,031014,68.5
União das freguesias de Chamoim e Vilar,031018,26.2
União das freguesias de Chorense e Monte,031019,17.3
União das freguesias de Cibões e Brufe,031020,12.5
Valdosende,031015,35.0
Vilar da Veiga,031017,11.0
Vila Verde,0313,107.2
Aboim da Nóbrega e Gondomar,031359,48.2
Atiães,031304,57.9
Cabanelas,031308,129.5
Cervães,031309,92.4
Coucieiro,031311,65.4
Dossãos,031313,67.5
Freiriz,031316,86.0
Gême,031317,159.4
Lage,031323,317.3
Lanhas,031324,155.2
Loureira,031325,310.8
Moure,031328,158.9
